Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"September 1, 2006 (Friday)",4:00 PM,Away,University of Northwestern (MN),"St. Paul, Minn.",,,,"W,3-0",
"September 1, 2006 (Friday)",6:00 PM,Neutral,Bethel University,Roseville (Northwestern-Roseville Tourney),,,,"L,0-3",
"September 2, 2006 (Saturday)",10:00 AM,Neutral,University of Wisconsin-Superior,Roseville (Northwestern-Roseville Tourney)/Univ. of Northwestern-St. Paul,,,,"W,3-0",
"September 2, 2006 (Saturday)",12:00 PM,Neutral,Augsburg University,Roseville (Northwestern-Roseville Tourney)/Univ. of Northwestern-St. Paul,,,,"W,3-1",
"September 8, 2006 (Friday)",4:00 PM,Neutral,University of Wisconsin-Eau Claire,Minneapolis (Augsburg Invitational)/Augsburg University,,,Augsburg Invitational,"L,0-3",
"September 8, 2006 (Friday)",8:00 PM,Neutral,Wisconsin Lutheran College,"Minneapolis, MN/Augsburg University",,,Augsburg Invitational,"W,3-0",
"September 9, 2006 (Saturday)",11:00 AM,Neutral,University of Northwestern (MN),"Minneapolis, MN/Augsburg University",,,Augsburg Invitational,"W,3-1",
"September 9, 2006 (Saturday)",1:00 PM,Neutral,University of Wisconsin-Stout,"Minneapolis, MN/Augsburg University",,,Augsburg Invitational,"L,1-3",
"September 13, 2006 (Wednesday)",7:00 PM,Home,St. Olaf College,Macalester,,,,"L,2-3",
"September 19, 2006 (Tuesday)",7:00 PM,Away,Saint Mary's University (Minn.),"Winona, MN",,,,"W,3-0",
"September 22, 2006 (Friday)",7:00 PM,Home,St. Catherine University,Macalester,,,,"W,3-0",
"September 23, 2006 (Saturday)",3:00 PM,Away,Hamline University,"St. Paul, MN",,,,"L,2-3",
"September 27, 2006 (Wednesday)",,Home,Concordia College (Minn.),Macalester,,,,"L,0-3",
"October 4, 2006 (Wednesday)",7:00 PM,Away,University of St. Thomas,"St. Paul, MN",,,,"L,1-3",
"October 6, 2006 (Friday)",4:00 PM,Neutral,University of Dubuque,"Cedar Rapids, Ia. (Minn.-Iowa Border Battle II)",,,Minnesota-Iowa Border Battle,"W,3-0",
"October 6, 2006 (Friday)",8:00 PM,Neutral,Simpson College,"Cedar Rapids, Ia. (Minn.-Iowa Border Battle II)",,,Minnesota-Iowa Border Battle,"L,0-3",
"October 7, 2006 (Saturday)",9:00 AM,Away,Coe College,"Cedar Rapids, IA",,,Minnesota-Iowa Border Battle,"L,0-3",
"October 7, 2006 (Saturday)",1:00 PM,Neutral,Luther College,"Cedar Rapids, Ia. (Minn.-Iowa Border Battle II)",,,Minnesota-Iowa Border Battle,"W,3-0",
"October 11, 2006 (Wednesday)",,Away,College of Saint Benedict,"St. Joseph, MN",,,,"W,3-2",
"October 13, 2006 (Friday)",7:00 PM,Away,Carleton College,"Northfield, MN",,,,"W,3-2",
"October 18, 2006 (Wednesday)",7:00 PM,Home,Gustavus Adolphus College,Macalester,,,,"L,1-3",
"October 20, 2006 (Friday)",7:00 PM,Home,Augsburg University,Macalester,,,,"W,3-2",
"October 25, 2006 (Wednesday)",7:00 PM,Home,Bethel University,Macalester,,,,"L,1-3",
