Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"April 13, 1965 (Tuesday)",,Away,Central,"Pella, IA",,,"L,7-14",
"April 17, 1965 (Saturday)",,Home,MONMOUTH,"Grinnell, IA",,,"W,3-2",
"April 17, 1965 (Saturday)",,Home,MONMOUTH,"Grinnell, IA",,,"W,1-0",
"April 20, 1965 (Tuesday)",,Away,Cornell,"Mount Vernon, IA",,,"L,0-2",
"April 20, 1965 (Tuesday)",,Away,Cornell,"Mount Vernon, IA",,,"L,0-1",
"April 22, 1965 (Thursday)",,Home,SIMPSON,"Grinnell, IA",,,"L,2-4",
"April 28, 1965 (Wednesday)",,Away,Coe,"Cedar Rapids, IA",,,"L,0-12",
"April 28, 1965 (Wednesday)",,Away,Coe,"Cedar Rapids, IA",,,"W,1-0",
"April 30, 1965 (Friday)",,Away,Monmouth,"Monmouth, IL",,,"L,0-9",
"May 1, 1965 (Saturday)",,Away,Knox,"Galesburg, IL",,,"L,3-14",
"May 1, 1965 (Saturday)",,Away,Knox,"Galesburg, IL",,,"W,9-1",
"May 12, 1965 (Wednesday)",,Home,COE,"Grinnell, IA",,,"L,5-7",
