Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"March 3, 2018 (Saturday)",Noon,Neutral,Illinois Wesleyan University,"St. Louis, MO",,,,"L,5-6(10 innings)",Box ScoreRecap
"March 4, 2018 (Sunday)",1:00 p.m.,Neutral,University of Chicago,"Greenville, IL",,,,"L,0-16",Box ScoreRecap
"March 17, 2018 (Saturday)",1:00 p.m.,Away,Hendrix College,"Conway, AR",,,,"L,0-5",Box ScoreRecap
"March 17, 2018 (Saturday)",4:00 p.m.,Away,Hendrix College,"Conway, AR",,,,"L,3-5",Box Score
"March 18, 2018 (Sunday)",10 a.m.,Away,Hendrix College,"Conway, AR",,,,"L,0-14",Box ScoreRecap
"March 18, 2018 (Sunday)",1:00 p.m.,Away,Hendrix College,"Conway, AR",,,,"W,7-5",Box ScoreRecap
"March 21, 2018 (Wednesday)",10:00 a.m.,Neutral,University of Wisconsin-Oshkosh,"Orlando, FL",,,,"L,0-8",Box ScoreRecap
"March 22, 2018 (Thursday)",10:00 a.m.,Neutral,Elmhurst College,"Orlando, FL",,,,"L,3-4",Box ScoreRecap
"March 24, 2018 (Saturday)",10:00 a.m.,Neutral,Worcester State University,"Orlando, FL",,,,"W,9-3",Box ScoreRecap
"March 24, 2018 (Saturday)",1:00 p.m.,Neutral,Worcester State University,"Orlando, FL",,,,"W,5-2",Box ScoreRecap
"March 25, 2018 (Sunday)",11:00 a.m.,Neutral,University of Wisconsin-Whitewater,"Orlando, FL",,,,"L,4-16",Box ScoreRecap
"March 25, 2018 (Sunday)",2:30 p.m.,Neutral,University of Wisconsin-Stevens Point,"Orlando, FL",,,,"L,10-13",Box ScoreRecap
"March 26, 2018 (Monday)",10:00 a.m.,Neutral,University of St. Thomas,"Orlando, FL",,,,"L,1-9",Box Score
"March 30, 2018 (Friday)",1:00 p.m.,Home,Cornell College,"Grinnell, IA",,,,"W,16-4",Box ScoreRecap
"March 30, 2018 (Friday)",4:00 p.m.,Home,Cornell College,"Grinnell, IA",,,,"W,14-4",Box ScoreRecap
"March 31, 2018 (Saturday)",10:00 a.m.,Away,Cornell College,"Mount Vernon, IA",,,,"W,8-7",Box ScoreRecap
"April 2, 2018 (Monday)",4:30 p.m.,Away,Cornell College,"Mount Vernon, IA",,,,"L,3-5",Box ScoreRecap
"April 5, 2018 (Thursday)",1:00 p.m.,Away,Illinois College,"Jacksonville, IL",,,,"L,3-9",Box ScoreRecap
"April 5, 2018 (Thursday)",4:00 p.m.,Away,Illinois College,"Jacksonville, IL",,,,"W,8-6",Box ScoreRecap
"April 8, 2018 (Sunday)",Noon,Away,Illinois College,"Jacksonville, IL",,,,"W,10-4",Box ScoreRecap
"April 12, 2018 (Thursday)",Noon,Away,Monmouth College,"Monmouth, IL",,,,"W,5-2",Box ScoreRecap
"April 12, 2018 (Thursday)",3:00 p.m.,Away,Monmouth College,"Monmouth, IL",,,,"W,16-10",Box ScoreRecap
"April 17, 2018 (Tuesday)",1:00 p.m.,Home,Monmouth College,"Grinnell, IA",,,,"L,5-13",Box ScoreRecap
"April 17, 2018 (Tuesday)",4:00 p.m.,Home,Monmouth College,"Grinnell, IA",,,,"L,1-6",Box ScoreRecap
"April 21, 2018 (Saturday)",2:30 p.m.,Neutral,St. Norbert College,"Galesburg, IL",,,,"W,5-3",Box ScoreRecap
"April 21, 2018 (Saturday)",5:30 p.m.,Neutral,Ripon College,"Galesburg, IL",,,,"W,10-7",Box ScoreRecap
"April 22, 2018 (Sunday)",2:30 p.m.,Neutral,Beloit College,"Galesburg, IL",,,,"L,6-7",Box ScoreRecap
"April 28, 2018 (Saturday)",Noon,Home,Knox College,"Grinnell, IA",,,,"W,11-0",Box ScoreRecap
"April 28, 2018 (Saturday)",3:00 p.m.,Home,Knox College,"Grinnell, IA",,,,"W,13-10",Box ScoreRecap
"April 29, 2018 (Sunday)",Noon,Away,Knox College,"Galesburg, IL",,,,"W,14-13",Box ScoreRecap
"April 29, 2018 (Sunday)",3:00 p.m.,Away,Knox College,"Galesburg, IL",,,,"W,15-7",Box ScoreRecap
"May 5, 2018 (Saturday)",10:00 a.m.,Home,Luther College,"Grinnell, IA",,,,"L,10-14",Box ScoreRecap
"May 5, 2018 (Saturday)",4:00 p.m.,Home,University of Chicago,"Grinnell, IA",,,,"L,3-11",Box ScoreRecap
"May 6, 2018 (Sunday)",Noon,Home,University of Chicago,"Grinnell, IA",,,,"L,4-5",Box ScoreRecap
"May 6, 2018 (Sunday)",3:00 p.m.,Home,University of Chicago,"Grinnell, IA",,,,"L,9-19",Box ScoreRecap
"May 7, 2018 (Monday)",4:30 p.m.,Neutral,Illinois College (completion of suspended game),"Monmouth, IL",,,,"L,4-6",Box ScoreRecap
"May 11, 2018 (Friday)",11:00 a.m.,Neutral,St. Norbert College,"Galesburg, IL",,,2018 Midwest Conference Baseball Tournament,"L,11-12",Box ScoreRecap
"May 11, 2018 (Friday)",3:30 p.m.,Neutral,Lawrence University,"Galesburg, IL",,,2018 Midwest Conference Baseball Tournament,"W,12-11",Box ScoreRecap
"May 12, 2018 (Saturday)",10:15 a.m.,Neutral,St. Norbert College,"Monmouth, IL",,,2018 Midwest Conference Baseball Tournament,"L,0-4",Box ScoreRecap
