Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"January 9, 1926 (Saturday)",,Away,Hillyard Technical Center,"St. Joseph, MO",,,"L,24-34",
"January 14, 1926 (Thursday)",,Away,Kansas,"Lawrence, KS",,,"L,20-28",
"January 15, 1926 (Friday)",,Away,Kansas State,"Manhattan, KS",,,"L,18-35",
"January 16, 1926 (Saturday)",,Away,Nebraska,"Lincoln, NE",,,"L,14-24",
"January 22, 1926 (Friday)",,Home,Oklahoma,"Grinnell, IA",,,"L,27-36",
"January 23, 1926 (Saturday)",,Home,Oklahoma A&M,"Grinnell, IA",,,"L,30-31",
"January 28, 1926 (Thursday)",,Home,Kansas,"Grinnell, IA",,,"L,19-36",
"January 30, 1926 (Saturday)",,Home,Nebraska,"Grinnell, IA",,,"L,18-39",
"February 5, 1926 (Friday)",,Away,Oklahoma A&M,"Stilwater, OK",,,"W,27-25",
"February 6, 1926 (Saturday)",,Away,Oklahoma,"Norman, OK",,,"L,19-30",
"February 9, 1926 (Tuesday)",,Away,Iowa State,"Ames, IA",,,"L,15-34",
"February 19, 1926 (Friday)",,Home,Drake,"Grinnell, IA",,,"L,19-26",
"February 22, 1926 (Monday)",,Home,Iowa State,"Grinnell, IA",,,"L,23-32",
"March 3, 1926 (Wednesday)",,Away,Drake,"Des Moines, IA",,,"L,9-33",
"March 5, 1926 (Friday)",,Home,Kansas State,"Grinnell, IA",,,"L,31-33",
