Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 8, 1989 (Friday)",,Away,Gustavus Adolphus,"St. Peter, MN",,,"L,0-1",
"September 9, 1989 (Saturday)",,Neutral,St. Scholastica,"St. Peter, MN",,,"W,2-1",
"September 15, 1989 (Friday)",,Home,Carleton,"Grinnell, IA",,,"W,3-0",
"September 16, 1989 (Saturday)",,Home,St. Olaf,"Grinnell, IA",,,"L,0-2",
"September 17, 1989 (Sunday)",,Home,Trinity (TX),"Grinnell, IA",,,"T,1-1",
"September 28, 1989 (Thursday)",,Away,Monmouth,"Monmouth, IL",,,"W,3-0",
"September 30, 1989 (Saturday)",,Away,Illinois College,"Jacksonville, IL",,,"W,1-0",
"October 4, 1989 (Wednesday)",,Home,Coe,"Grinnell, IA",,,"W,3-0",
"October 7, 1989 (Saturday)",,Away,Wisconsin-Plateville,"Plateville, WI",,,"W,3-0",
"October 8, 1989 (Sunday)",,Neutral,Wisconsin-Oshkosh,"Platteville, WI",,,"L,1-2",
"October 11, 1989 (Wednesday)",,Away,Cornell,"Mount Vernon, IA",,,"W,3-1",
"October 14, 1989 (Saturday)",,Home,Knox,"Grinnell, IA",,,"W,3-2",
"October 17, 1989 (Tuesday)",,Away,Colorado College,"Colorado Springs, CO",,,"L,0-1",
"October 19, 1989 (Thursday)",,Away,UC-Colorado Springs,"Colorado Springs, CO",,,"W,3-0",
"October 28, 1989 (Saturday)",,Neutral,St. Norbert (MWC Tournament Semifinal),"Appleton, WI",,,"W,1-0",
"October 28, 1989 (Saturday)",,Away,Lawrence (MWC Tournament Championship),"Appleton, WI",,,"W,2-0",
