Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"February 9, 2002 (Saturday)",,Home,Westminster,"Grinnell, IA",,,"W,6-1",
"February 16, 2002 (Saturday)",,Home,Macalester,"Grinnell, IA",,,"W,7-0",
"February 16, 2002 (Saturday)",,Home,Cornell,"Grinnell, IA",,,"W,7-0",
"February 22, 2002 (Friday)",,Away,Coe,"Cedar Rapids, IA",,,"L,0-7",
"February 23, 2002 (Saturday)",,Neutral,UW-La Crosse,"Cedar Rapids, IA",,,"L,2-5",
"March 1, 2002 (Friday)",,Neutral,UW-Oshkosh,"Cedar Rapids, IA",,,"L,1-6",
"March 9, 2002 (Saturday)",,Home,Nebraska Wesleyan,"Grinnell, IA",,,"L,3-4",
"March 16, 2002 (Saturday)",,Home,Graceland,"Grinnell, IA",,,"L,1-6",
"March 18, 2002 (Monday)",,Neutral,Wesleyan,"Daytona, FL",,,"L,2-5",
"March 19, 2002 (Tuesday)",,Neutral,Chicago,"Daytona, FL",,,"W,4-3",
"March 20, 2002 (Wednesday)",,Neutral,SCAD-Savannah,"Daytona, FL",,,"L,3-4",
"March 22, 2002 (Friday)",,Neutral,Queens College,"Daytona, FL",,,"L,3-4",
"March 22, 2002 (Friday)",,Neutral,SUNY New Paltz,"Daytona, FL",,,"W,6-1",
"April 6, 2002 (Saturday)",,Home,Luther,"Grinnell, IA",,,"L,3-4",
"April 12, 2002 (Friday)",,Home,St. Ambrose,"Grinnell, IA",,,"W,7-0",
"April 13, 2002 (Saturday)",,Away,Central,"Pella, IA",,,"L,1-6",
"April 13, 2002 (Saturday)",,Neutral,Loras,"Pella, IA",,,"W,7-0",
"April 19, 2002 (Friday)",,Away,Ripon,"Ripon, WI",,,"L,3-4",
"April 20, 2002 (Saturday)",,Away,Lawrence,"Appleton, WI",,,"W,6-1",
"April 20, 2002 (Saturday)",,Away,St. Norbert,"De Pere, WI",,,"W,7-0",
"April 27, 2002 (Saturday)",,Away,Knox,"Galesburg, IL",,,"W,6-1",
"April 27, 2002 (Saturday)",,Neutral,Illinois College,"Galesburg, IL",,,"W,7-0",
"April 27, 2002 (Saturday)",,Neutral,Lake Forest,"Galesburg, IL",,,"W,7-0",
"May 3, 2002 (Friday)",,Neutral,Lawernce (MWC Tournament Semifinal),"Madison, WI",,,"W,5-2",
"May 3, 2002 (Friday)",,Neutral,Ripon (MWC Tournament Championship),"Madison, WI",,,"W,4-3",
"May 4, 2002 (Saturday)",,Neutral,Midwest Conference Tournament,"Madison, WI",,,1st/9 Teams,
