Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"March 3, 2018 (Saturday)",9:30 am ET,Neutral,La Roche College,"Ft. Pierce, Fla.",,,Florida Coast Spring Training,"L,3-6",Box ScoreRecap
"March 3, 2018 (Saturday)",12:00 pm ET,Neutral,La Roche College,"Ft. Pierce, Fla.",,,Florida Coast Spring Training,"L,4-6",Box ScoreRecap
"March 4, 2018 (Sunday)",10:00 am ET,Neutral,Dominican University (Ill.),"Ft. Pierce, Fla.",,,Florida Coast Spring Training,"L,4-14",Box ScoreRecap
"March 4, 2018 (Sunday)",12:30 pm ET,Neutral,Dominican University (Ill.),"Ft. Pierce, Fla.",,,Florida Coast Spring Training,"W,6-5",Box ScoreRecap
"March 5, 2018 (Monday)",10:00 am,Neutral,Kenyon College,"Ft. Pierce, Fla.",,,Florida Coast Spring Training,"W,12-7",Box ScoreRecap
"March 7, 2018 (Wednesday)",10:00 am ET,Neutral,Lebanon Valley College,"Ft. Pierce, Fla.",,,Florida Coast Spring Training,"W,4-2",Box ScoreRecap
"March 7, 2018 (Wednesday)",12:30 pm ET,Neutral,Lebanon Valley College,"Ft. Pierce, Fla.",,,Florida Coast Spring Training,"W,8-7",Box ScoreRecap
"March 8, 2018 (Thursday)",10:00 am ET,Neutral,Elizabethtown College,"Ft. Pierce, Fla.",,,Florida Coast Spring Training,"L,3-7",Box ScoreRecap
"March 8, 2018 (Thursday)",12:30 pm ET,Neutral,Elizabethtown College,"Ft. Pierce, Fla.",,,Florida Coast Spring Training,"W,3-2",Box ScoreRecap
"March 9, 2018 (Friday)",11:00 am,Neutral,Bridgewater State University,"Vero Beach, Fla.",,,Florida Coast Spring Training,"W,10-7",Box ScoreRecap
"March 14, 2018 (Wednesday)",2:00 pm,Away,Eureka College,"Eureka, IL",,,,"L,9-11",Box ScoreRecap
"March 14, 2018 (Wednesday)",4:30 pm,Away,Eureka College,"Eureka, IL",,,,"Called due to darkness in 7thT,4-4",Box ScoreRecap
"March 18, 2018 (Sunday)",1:00 pm,Home,Simpson College,"Monmouth, Ill./Glasgow Field",,,,"W,9-5",Box ScoreRecap
"March 18, 2018 (Sunday)",3:00 pm,Home,Simpson College,"Monmouth, Ill./Glasgow Field",,,,"W,14-6",Box ScoreRecap
