Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"September 3, 2022 (Saturday)",7:00 p.m.,Home,Wartburg College,"Monmouth, Ill./April Zorn Memorial Stadium",,WRAM 1330,,"L,7-34",Box Score
"September 10, 2022 (Saturday)",1:00 p.m.,Away,Grinnell College,"Grinnell, IA",,WRAM,,"W,48-0",Box ScoreRecap
"September 17, 2022 (Saturday)",1:00 p.m.,Home,Illinois College,"Monmouth, Ill./April Zorn Memorial Stadium",,WRAM,,"W,51-20",Box ScoreRecap
"October 1, 2022 (Saturday)",2:00 p.m.,Home,Lawrence University,"Monmouth, Ill./April Zorn Memorial Stadium",,WRAM,,"W,62-6",Box ScoreRecap
"October 8, 2022 (Saturday)",1:00 p.m.,Away,University of Chicago,"Chicago, IL",,WRAM,,"W,23-20",Box ScoreRecap
"October 15, 2022 (Saturday)",1:00 p.m.,Home,Beloit College,"Monmouth, Ill./April Zorn Memorial Stadium",,WRAM,,"W,64-0",Box ScoreRecap
"October 22, 2022 (Saturday)",2:00 p.m.,Away,Cornell College,"Mount Vernon, IA",,wram,,"W,56-12",Box ScoreRecap
"October 29, 2022 (Saturday)",1:00 p.m.,Away,Lake Forest College,"Lake Forest, IL",,,,"L,14-31",Box ScoreRecap
"November 5, 2022 (Saturday)",1:00 p.m.,Home,Ripon College,"Monmouth, Ill./April Zorn Memorial Stadium",,WRAM,,"W,39-31",Box ScoreRecap
"November 12, 2022 (Saturday)",12:00 p.m.,Away,Knox College,"Galesburg, IL",,WRAM,,"W,56-0",Box ScoreRecap
"November 19, 2022 (Saturday)",12:00 pm,Neutral,Concordia University (Wis.),"Wauwatosa, WI",,,Cousins Subs Lakefront Bowl,"W,45-20",Box ScoreRecap
