Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"August 29, 2014 (Friday)",5:00 pm,Home,Aurora University,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"L,0-2",Box ScoreRecap
"September 2, 2014 (Tuesday)",5:00 pm,Away,Central College,"Pella, IA",,,"W,4-2",Box ScoreRecap
"September 6, 2014 (Saturday)",2:00 pm,Home,Wabash College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"L,0-2",Box ScoreRecap
"September 13, 2014 (Saturday)",3:30 pm,Home,Concordia University (Wis.),"Monmouth, Ill./Peacock Memorial Athletic Park",,,"L,0-2",Box ScoreRecap
"September 14, 2014 (Sunday)",1:30 pm,Home,Marian University,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"L,1-3",Box ScoreRecap
"September 17, 2014 (Wednesday)",5:00 pm,Home,Millikin University,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"W,1-0",Box ScoreRecap
"September 20, 2014 (Saturday)",12:00 pm,Home,Cornell College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"W,4-0",Box ScoreRecap
"September 24, 2014 (Wednesday)",7:00 pm,Away,University of Dubuque,"Dubuque, IA",,,"L,0-4",Box ScoreRecap
"September 27, 2014 (Saturday)",11:00 am,Away,Knox College,"Galesburg, IL",,,"L,1-4",Box ScoreRecap
"September 29, 2014 (Monday)",7:00 pm,Away,Principia College,"Elsah, IL",,,"L,2-3",Box ScoreRecap
"October 4, 2014 (Saturday)",11:00 am,Away,St. Norbert College,De Pere. WI,,,"T,2-22OT",Box ScoreRecap
"October 5, 2014 (Sunday)",11:00 am,Away,Ripon College,"Ripon, WI",,,"W,3-0",Box ScoreRecap
"October 9, 2014 (Thursday)",7:00 pm,Away,Illinois College,"Jacksonville, IL",,,"W,1-0",Box ScoreRecap
"October 11, 2014 (Saturday)",12:00 pm,Home,Lawrence University,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"W,1-0",Box ScoreRecap
"October 18, 2014 (Saturday)",11:00 am,Home,Lake Forest College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"W,1-0",Box ScoreRecap
"October 19, 2014 (Sunday)",11:00 am,Home,Carroll University,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"L,1-3",Box ScoreRecap
"October 25, 2014 (Saturday)",12:00 pm,Home,Grinnell College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"L,0-1PK in 2nd OT",Box ScoreRecap
"November 1, 2014 (Saturday)",12:00 pm,Away,Beloit College,"Beloit, WI",,,"W,3-1",Box ScoreRecap
