Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 1, 2011 (Thursday)",5:00 pm,Away,Iowa Wesleyan College,"Mount Pleasant, IA",,,"L,1-2",Box Score
"September 3, 2011 (Saturday)",5:00 pm,Away,Coe College,"Cedar Rapids, Iowa",,,"T,0-0",
"September 5, 2011 (Monday)",4:00 pm,Home,Hannibal-LaGrange College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"W,3-1",Box Score
"September 10, 2011 (Saturday)",1:00 pm,Away,Dominican University,"River Forest, Ill.",,,"L,1-2",
"September 11, 2011 (Sunday)",2:00 pm,Home,Webster University,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"L,0-1",Box Score
"September 14, 2011 (Wednesday)",3:00 pm,Home,Central College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"W,3-2",Box Score
"September 17, 2011 (Saturday)",1:00 pm,Home,Grinnel College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"L,0-3",Box Score
"September 18, 2011 (Sunday)",3:00 pm,Home,Cornell College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"W,2-0",Box Score
"September 24, 2011 (Saturday)",11:00 am,Away,St.Norbert College,,,,"T,1-1",
"September 28, 2011 (Wednesday)",4:30 pm,Home,University of Dubuque,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"L,1-2",Box Score
"October 1, 2011 (Saturday)",1:00 pm,Away,Lake Forest College,"Lake Forest, Ill.",,,"W,2-0",
"October 8, 2011 (Saturday)",12:00 pm,Home,Lawrence University,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"L,2-3",Box Score
"October 15, 2011 (Saturday)",11:00 am,Home,Knox College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"W,6-1",Box Score
"October 15, 2011 (Saturday)",3:30 pm,Away,Illinois College,"Jacksonville, Ill.",,,"W,2-0",
"October 22, 2011 (Saturday)",10:00 am,Away,Carroll University,"Waukesha, Wis.",,,"L,0-3",
"October 23, 2011 (Sunday)",11:00 am,Away,Ripon College,"Ripon, Wis.",,,"W,3-0",
"October 29, 2011 (Saturday)",12:00 pm,Home,Beloit College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,"W,2-1",Box Score
