Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"August 31, 2012 (Friday)",5:00 pm,Home,North Central College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,,"T,0-02)T",Box ScoreRecap
"September 3, 2012 (Monday)",4:00 pm,Away,Hannibal-LaGrange College,"Hannibal, MO",,,,"T,0-02 OT",Box Score
"September 8, 2012 (Saturday)",3:00 pm,Home,Waldorf College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,,"W,3-1",Box Score
"September 9, 2012 (Sunday)",2:00 pm,Away,Webster University,"St. Louis, MO",,,,"L,0-3",Box Score
"September 12, 2012 (Wednesday)",5:00 pm,Away,Central College,"Pella, IA",,,,"L,0-3",Box Score
"September 15, 2012 (Saturday)",11:00 am,Away,St. Norbert College,De Pere. WI,,,,"L,1-3",Box Score
"September 16, 2012 (Sunday)",11:00 am,Away,Ripon College,"Ripon, WI",,,,"L,0-1",Box Score
"September 19, 2012 (Wednesday)",5:00 pm,Home,Iowa Wesleyan College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,,"W,6-1",Box ScoreRecap
"September 22, 2012 (Saturday)",1:00 pm,Home,Culver-Stockton College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,,"L,1-3",Box Score
"September 25, 2012 (Tuesday)",4:00 pm,Away,Illinois College,"Jacksonville, IL",,,,"T,0-0",Box Score
"September 29, 2012 (Saturday)",11:30 am,Home,Cornell College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,,"W,6-1",Box ScoreRecap
"October 2, 2012 (Tuesday)",6:00 pm,Away,University of Dubuque,"Dubuque, IA",,,,"L,0-4",Box Score
"October 6, 2012 (Saturday)",11:00 am,Home,Lawrence University,"Monmouth, Ill./Peacock Memorial Athletic Park",,,,"W,6-0",Box Score
"October 16, 2012 (Tuesday)",4:00 pm,Away,Knox College,"Galesburg, IL",,,,"W,3-0",Box Score
"October 20, 2012 (Saturday)",11:00 am,Home,Lake Forest College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,,"W,3-1",Box Score
"October 21, 2012 (Sunday)",11:00 am,Home,Carroll University,"Monmouth, Ill./Peacock Memorial Athletic Park",,,,"W,1-0",Box ScoreRecap
"October 24, 2012 (Wednesday)",3:30 pm,Away,Beloit College,"Beloit, WI",,,,"W,3-1",Box Score
"October 27, 2012 (Saturday)",1:30 pm,Home,Grinnell College,"Monmouth, Ill./Peacock Memorial Athletic Park",,,,"W,2-1",Box ScoreRecap
"November 2, 2012 (Friday)",11:00 am,Neutral,St.Norbert,"Waukegan Sports Park, Waukegan, Ill.",,,Midwest Conference Championships,"L,1-3",Box ScoreRecap
