Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"August 24, 2018 (Friday)",6:00 pm,Home,Knox College,"Monmouth, Ill./Glennie Gymnasium",,,,Scrimmage,
"September 1, 2018 (Saturday)",10:00 am,Home,Lincoln Christian University,"Monmouth, Ill./Glennie Gymnasium",,,Monmouth College Invitational,"W,3-1",Box ScoreRecap
"September 1, 2018 (Saturday)",12:30 pm,Neutral,Lincoln Christian vs. Principia,"Monmouth, Ill./Glennie Gymnasium",,,Monmouth College Invitational,,
"September 1, 2018 (Saturday)",2:30 pm,Home,Principia College,"Monmouth, Ill./Glennie Gymnasium",,,Monmouth College Invitational,"W,3-0",Box ScoreRecap
"September 4, 2018 (Tuesday)",7:00 pm,Away,Eureka College,"Eureka, IL",,,,"W,3-0",Box Score
"September 7, 2018 (Friday)",3:00 pm,Away,Loras College,"Dubuque, IA",,,Loras Invitational,"L,0-3",Box ScoreRecapTournament Information
"September 7, 2018 (Friday)",5:00 pm,Neutral,North Central College,"Dubuque, Iowa",,,Loras Invitational,"L,2-3",Box ScoreRecapTournament Information
"September 8, 2018 (Saturday)",9:00 am,Neutral,Dominican University (Ill.),"Dubuque, Iowa",,,Loras Invitational,"L,1-3",Box ScoreRecapTournament Information
"September 8, 2018 (Saturday)",1:00 pm,Neutral,University of Dubuque,"Dubuque, Iowa",,,Loras Invitational,"L,1-3",Box ScoreRecapTournament Information
"September 11, 2018 (Tuesday)",7:00 pm,Home,Iowa Wesleyan University,"Monmouth, Ill./Glennie Gymnasium",,,,"W,3-1",Box ScoreRecap
"September 14, 2018 (Friday)",2:00 pm,Neutral,Finlandia University,"Galesburg, Ill.",,,Knox College Tournament,"W,3-0",Box ScoreRecap
"September 14, 2018 (Friday)",6:00 pm,Neutral,Westminster College (MO),"Galesburg, Ill.",,,Knox College Tournament,"W,3-2",Box ScoreRecap
"September 15, 2018 (Saturday)",1:00 pm,Neutral,Anderson University (IN),"Galesburg, Ill.",,,Knox College Tournament,"W,3-1",Box ScoreRecap
"September 15, 2018 (Saturday)",5:00 pm,Neutral,Lincoln College,"Galesburg, Ill.",,,Knox College Tournament,"L,0-3",Box ScoreRecap
"September 21, 2018 (Friday)",6:00 pm,Neutral,Crowley's Ridge College,"Lincoln, Ill.",,,Lincoln Christian Tournament,"W,3-0",Box ScoreRecap
"September 21, 2018 (Friday)",8:00 pm,Neutral,Lincoln College,"Lincoln, IL",,,Lincoln Christian Tournament,"L,0-3",Box ScoreRecap
"September 22, 2018 (Saturday)",9:00 am,Neutral,Hannibal-LaGrange University,"Lincoln, Ill.",,,Lincoln Christian Tournament,"W,3-0",Box ScoreRecap
"September 22, 2018 (Saturday)",1:00 pm,Away,Lincoln Christian University,"Lincoln, IL",,,Lincoln Christian Tournament,"L,1-3",Box ScoreRecap
"September 26, 2018 (Wednesday)",7:30 pm,Home,Cornell College,"Monmouth, Ill./Glennie Gymnasium",,,,"L,0-3",Box ScoreRecap
"September 29, 2018 (Saturday)",1:00 pm,Home,Beloit College,"Monmouth, Ill./Glennie Gymnasium",,,,"L,2-3",Box ScoreRecap
"October 2, 2018 (Tuesday)",7:00 pm,Home,MacMurray College,"Monmouth, Ill./Glennie Gymnasium",,,,"W,3-0",Box ScoreRecap
"October 5, 2018 (Friday)",7:00 pm,Away,Ripon College,"Ripon, WI",,,,"L,0-3",Box ScoreRecap
"October 6, 2018 (Saturday)",1:00 pm,Away,Lawrence University,"Appleton, WI",,,,"L,2-3",Box ScoreRecap
"October 9, 2018 (Tuesday)",7:00 pm,Away,Illinois College,"Jacksonville, IL",,,,"L,0-3",Box ScoreRecap
"October 12, 2018 (Friday)",7:00 pm,Away,Grinnell College,"Grinnell, IA",,,,"L,0-3",Box ScoreRecap
"October 13, 2018 (Saturday)",12:00 pm,Away,Simpson College,"Indianola, IA",,,,"L,0-3",Box ScoreRecap
"October 16, 2018 (Tuesday)",7:00 pm,Home,Eureka College,"Monmouth, Ill./Glennie Gymnasium",,,,"W,3-1",Box ScoreRecap
"October 19, 2018 (Friday)",7:00 pm,Home,Lake Forest College,"Monmouth, Ill./Glennie Gymnasium",,,,"W,3-1",Box ScoreRecap
"October 20, 2018 (Saturday)",1:00 pm,Home,St. Norbert College,"Monmouth, Ill./Glennie Gymnasium",,,,"L,1-3",Box ScoreRecap
"October 26, 2018 (Friday)",7:00 pm,Home,Knox College,"Monmouth, Ill./Glennie Gymnasium",,,,"W,3-0",Box ScoreRecap
