Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"March 10, 2018 (Saturday)",6:30 p.m. ET,Neutral,Rowan,"Auburndale, Fla./ Lake Myrtle Park Field #8",,,RussMatt Central Florida Invitational,"L,0-14",Box ScoreRecap
"March 11, 2018 (Sunday)",1 p.m. ET,Neutral,Rutgers-Camden,"Auburndale, Fla./ Lake Myrtle Park Field #3",,,RussMatt Central Florida Invitational,"L,0-2",Box ScoreRecap
"March 11, 2018 (Sunday)",4:30 p.m. ET,Neutral,Webster,"Auburndale, Fla./ Lake Myrtle Park Field #3",,,RussMatt Central Florida Invitational,"L,5-6",Box ScoreRecap
"March 12, 2018 (Monday)",5 p.m. ET,Neutral,Franklin & Marshall,"Auburndale, Fla./ Lake Myrtle Park Main Field",,,RussMatt Central Florida Invitational,"L,2-4",Box ScoreRecap
"March 12, 2018 (Monday)",7 p.m. ET,Neutral,Franklin & Marshall,"Auburndale, Fla./ Lake Myrtle Park Main Field",,,RussMatt Central Florida Invitational,"L,8-16",Box ScoreRecap
"March 14, 2018 (Wednesday)",1:45 p.m. ET,Neutral,William Paterson,"Auburndale, Fla./ Lake Myrtle Park Field #8",,,RussMatt Central Florida Invitational,"L,2-3",Box ScoreRecap
"March 15, 2018 (Thursday)",1:45 p.m. ET,Neutral,Salve Regina,"Auburndale, Fla./ Lake Myrtle Park Field #8",,,RussMatt Central Florida Invitational,"W,8-2",Box ScoreRecap
"March 15, 2018 (Thursday)",5:15 p.m. ET,Neutral,Eastern Connecticut,"Auburndale, Fla./ Lake Myrtle Park Field #8",,,RussMatt Central Florida Invitational,"L,7-16",Box ScoreRecap
"March 16, 2018 (Friday)",6:45 p.m. ET,Neutral,UW-Oshkosh,"Auburndale, Fla./ Lake Myrtle Park Field #2",,,RussMatt Central Florida Invitational,"L,1-7",Box ScoreRecap
"March 25, 2018 (Sunday)",1 p.m.,Away,Concordia (Wis.),"Mequon, Wis.",,,,"W,3-2",Box ScoreRecap
"March 28, 2018 (Wednesday)",3:30 p.m.,Home,Marian (Wis.),"RIPON, Wis./Francis Field",,,,"W,8-5",Box ScoreRecap
"March 30, 2018 (Friday)",3 p.m.,Away,UW-Whitewater,"Whitewater, Wis.",,,,"L,3-15(7 inn.)",Box ScoreRecap
"March 30, 2018 (Friday)",5:30 p.m.,Away,UW-Whitewater,"Whitewater, Wis.",,,,"L,5-11",Box ScoreRecap
"April 11, 2018 (Wednesday)",4 p.m.,Home,Carroll (Wis.),"RIPON, Wis./Francis Field",,,,"L,7-9",Box ScoreRecap
"April 12, 2018 (Thursday)",1 p.m.,Away,Lawrence,"Appleton, Wis.",,,,"L,6-7(11 inn.)",Box ScoreRecap
"April 12, 2018 (Thursday)",3:30 p.m.,Away,Lawrence,"Appleton, Wis.",,,,"W,4-3(10 inn.)",Box ScoreRecap
"April 21, 2018 (Saturday)",2:30 p.m.,Neutral,Illinois College,"Galesburg, Ill./ Galesburg High School Field 2",,,Midwest Conference Crossover,"L,5-11",Box ScoreRecap
"April 21, 2018 (Saturday)",5:30 p.m.,Neutral,Grinnell,"Galesburg, Ill./ Galesburg High School Field 1",,,Midwest Conference Crossover,"L,7-10",Box ScoreRecap
"April 22, 2018 (Sunday)",10 a.m.,Away,Monmouth (Ill.),"Monmouth, Ill.",,,Midwest Conference Crossover,"W,10-5",Box ScoreRecap
"April 22, 2018 (Sunday)",2:30 p.m.,Away,Knox,"Galesburg, Ill.",,,Midwest Conference Crossover,"W,7-3",Box ScoreRecap
"April 25, 2018 (Wednesday)",1 p.m.,Home,Lawrence,"RIPON, Wis./Francis Field",,,,"W,11-7",Box ScoreRecap
"April 25, 2018 (Wednesday)",3:30 p.m.,Home,Lawrence,"RIPON, Wis./Francis Field",,,,"L,4-13",Box ScoreRecap
"April 26, 2018 (Thursday)",4 p.m.,Home,Wisconsin Lutheran,"RIPON, Wis./Francis Field",,,,"W,13-7",Box ScoreRecap
"April 28, 2018 (Saturday)",1 p.m.,Home,Beloit,"RIPON, Wis./Francis Field",,,,"L,3-5",Box ScoreRecap
"April 28, 2018 (Saturday)",3:30 p.m.,Home,Beloit,"RIPON, Wis./Francis Field",,,,"W,8-0",Box ScoreRecap
"April 29, 2018 (Sunday)",1 p.m.,Away,Beloit,"Beloit, Wis.",,,,"L,3-5",Box ScoreRecap
"April 29, 2018 (Sunday)",3:30 p.m.,Away,Beloit,"Beloit, Wis.",,,,"L,10-19",Box ScoreRecap
"May 2, 2018 (Wednesday)",6 p.m.,Away,Marian (Wis.),"Fond du Lac, Wis.",,,,"W,5-2(7 inn.)",Box ScoreRecap
"May 5, 2018 (Saturday)",12 p.m.,Home,St. Norbert,"RIPON, Wis./Francis Field",,,,"W,4-3(10 inn.)",Box ScoreRecap
"May 5, 2018 (Saturday)",2:30 p.m.,Home,St. Norbert,"RIPON, Wis./Francis Field",,,,"L,4-17(7 inn.)",Box ScoreRecap
"May 6, 2018 (Sunday)",12 p.m.,Away,St. Norbert,De Pere. Wis.,,,,"L,1-11(7 inn.)",Box ScoreRecap
"May 6, 2018 (Sunday)",2:30 p.m.,Away,St. Norbert,De Pere. Wis.,,,,"W,11-5",Box ScoreRecap
