Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 7, 2013 (Saturday)",7 p.m.,Away,Wisconsin Lutheran College,"Milwaukee, WI",,,"W,31-24",RecapGame NotesBox Score
"September 14, 2013 (Saturday)",1 p.m.,Home,Carroll University,"RIPON, Wis.",The Ripon Channel (tape delay),,"W,22-20",RecapGame NotesBox Score
"September 21, 2013 (Saturday)",1 p.m.,Away,St. Norbert College,De Pere. WI,WACY-TV,,"L,6-33",RecapGame NotesBox Score
"September 28, 2013 (Saturday)",1 p.m.,Home,Illinois College,"RIPON, Wis.",The Ripon Channel (tape delay),,"L,28-44",RecapGame NotesBox Score
"October 5, 2013 (Saturday)",1 p.m.,Away,Knox College,"Galesburg, IL",,,"W,37-29",RecapGame NotesBox Score
"October 19, 2013 (Saturday)",1 p.m.,Away,Grinnell College,"Grinnell, IA",,,"W,33-27(OT)",RecapGame NotesBox Score
"October 26, 2013 (Saturday)",1 p.m.,Home,Beloit College,"RIPON, Wis.",The Ripon Channel (tape delay),,"W,40-14",RecapGame NotesBox Score
"November 2, 2013 (Saturday)",1 p.m.,Home,Lake Forest College,"RIPON, Wis.",The Ripon Channel (tape delay),,"W,27-14",RecapGame NotesBox Score
"November 9, 2013 (Saturday)",1 p.m.,Away,Monmouth College,"Monmouth, IL",,,"L,21-49",RecapGame NotesBox Score
"November 16, 2013 (Saturday)",1 p.m.,Home,Lawrence University,"RIPON, Wis.",The Ripon Channel (tape delay),,"W,48-28",RecapGame NotesBox Score
