Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"September 1, 2018 (Saturday)",1 p.m.,Away,Augsburg,"Minneapolis, Minn.",,,,"L,28-31",Box ScoreRecapGame Notes
"September 8, 2018 (Saturday)",1 p.m.,Home,Finlandia,"RIPON, Wis.",,,,"W,70-0",Box ScoreRecapGame Notes
"September 22, 2018 (Saturday)",1 p.m.,Home,Knox,"RIPON, Wis.",,,Homecoming,"W,28-3",Box ScoreRecapGame Notes
"September 29, 2018 (Saturday)",1 p.m.,Away,Grinnell,"Grinnell, Iowa",,,,"W,53-7",Box ScoreRecapGame Notes
"October 6, 2018 (Saturday)",1 p.m.,Away,St. Norbert,De Pere. Wis.,,,,"L,17-30",Box ScoreRecapGame Notes
"October 13, 2018 (Saturday)",1 p.m.,Home,Beloit,"RIPON, Wis.",,,,"W,49-14",Box ScoreRecapGame Notes
"October 20, 2018 (Saturday)",1 p.m.,Home,Macalester,"RIPON, Wis.",,,,"W,58-34",Box ScoreRecapGame Notes
"October 27, 2018 (Saturday)",2 p.m.,Away,Univ. of Chicago,"Chicago, Ill.",,,,"L,6-35",Box ScoreRecapGame Notes
"November 3, 2018 (Saturday)",1 p.m.,Home,Lawrence,"RIPON, Wis.",,,Senior Day,"W,52-0",Box ScoreRecapGame Notes
"November 10, 2018 (Saturday)",1 p.m.,Home,Knox,"RIPON, Wis.",,,,"W,38-19",Box ScoreRecapGame Notes
