Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"August 25, 2018 (Saturday)",1 p.m.,Home,Ripon College Alumni Game,"RIPON, Wis./Prairie Field",,,Exhibition,,History
"August 31, 2018 (Friday)",7 p.m.,Away,Illinois Tech,"Chicago, Ill.",,,,"L,0-2",Box ScoreRecap
"September 2, 2018 (Sunday)",2:30 p.m.,Home,Rockford,"RIPON, Wis./Prairie Field",,,,"L,0-2",Box ScoreRecap
"September 5, 2018 (Wednesday)",5 p.m.,Away,Marian (Wis.),"Fond du Lac, Wis.",,,,CANCELLED - Field Conditions,
"September 8, 2018 (Saturday)",1 p.m.,Home,MSOE,"RIPON, Wis./Prairie Field",,,,"L,1-4",Box ScoreRecap
"September 9, 2018 (Sunday)",1 p.m.,Home,MacMurray,"RIPON, Wis./Prairie Field",,,,"W,3-2(OT)",Box ScoreRecap
"September 12, 2018 (Wednesday)",7:30 p.m.,Away,Lakeland,"Plymouth, Wis.",,,,"W,1-0",Box ScoreRecap
"September 15, 2018 (Saturday)",1 p.m.,Home,Edgewood,"RIPON, Wis./Prairie Field",,,,"L,1-8",Box ScoreRecap
"September 18, 2018 (Tuesday)",4 p.m.,Home,Maranatha Baptist,"RIPON, Wis./Prairie Field",,,,"W,2-1",Box ScoreRecap
"September 23, 2018 (Sunday)",1 p.m.,Away,Lake Forest,"Lake Forest, Ill.",,,,"L,0-4",Box ScoreRecap
"September 29, 2018 (Saturday)",11 a.m.,Away,Knox,"Galesburg, Ill.",,,,"L,1-2",Box ScoreRecap
"September 30, 2018 (Sunday)",11 a.m.,Away,Illinois College,"Jacksonville, Ill.",,,,"T,0-0(2OT)",Box ScoreRecap
"October 4, 2018 (Thursday)",7 p.m.,Away,Lawrence,"Appleton, Wis.",,,,"L,0-4",Box ScoreRecap
"October 6, 2018 (Saturday)",2 p.m.,Away,Moody Bible,"Chicago, Ill.",,,,CANCELLED - Field Conditions,
"October 13, 2018 (Saturday)",11 a.m.,Home,Grinnell,"RIPON, Wis./Prairie Field",,,,"L,1-4",Box ScoreRecap
"October 14, 2018 (Sunday)",11 a.m.,Home,Cornell (Iowa),"RIPON, Wis./Prairie Field",,,,"L,0-3",Box ScoreRecap
"October 20, 2018 (Saturday)",11 a.m.,Home,Beloit,"RIPON, Wis./Prairie Field",,,Senior Day,"L,1-2",Box ScoreRecap
"October 23, 2018 (Tuesday)",3:30 p.m.,Home,St. Norbert,"RIPON, Wis./Prairie Field",,,,"L,0-4",Box ScoreRecap
"October 27, 2018 (Saturday)",11 a.m.,Away,Monmouth (Ill.),"Monmouth, Ill.",,,,"L,1-4",Box ScoreRecap
