Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"August 23, 2018 (Thursday)",4 p.m.,Away,Concordia (Wis.),"Mequon, Wis.",,,Exhibition,,History
"August 31, 2018 (Friday)",5 p.m.,Home,UW-Platteville,"RIPON, Wis./Prairie Field",,,,"L,3-4(OT)",Box ScoreRecap
"September 2, 2018 (Sunday)",Noon,Home,Marian (Wis.),"RIPON, Wis./Prairie Field",,,,"L,1-3",Box ScoreRecap
"September 12, 2018 (Wednesday)",5 p.m.,Away,Lakeland,"Plymouth, Wis.",,,,"W,4-1",Box ScoreRecap
"September 15, 2018 (Saturday)",3:30 p.m.,Home,UW-River Falls,"RIPON, Wis./Prairie Field",,,,"L,0-1",Box ScoreRecap
"September 16, 2018 (Sunday)",3:30 p.m.,Home,UW-Stout,"RIPON, Wis./Prairie Field",,,,"T,3-3(2OT)",Box ScoreRecap
"September 19, 2018 (Wednesday)",4 p.m.,Home,UW-Stevens Point,"RIPON, Wis./Prairie Field",,,,"L,0-3",Box ScoreRecap
"September 23, 2018 (Sunday)",3:30 p.m.,Away,Lake Forest,"Lake Forest, Ill.",,,,"W,2-0",Box ScoreRecap
"September 29, 2018 (Saturday)",1:30 p.m.,Away,Knox,"Galesburg, Ill.",,,,"L,2-3",Box ScoreRecap
"September 30, 2018 (Sunday)",1:30 p.m.,Away,Illinois College,"Jacksonville, Ill.",,,,"W,6-0",Box ScoreRecap
"October 3, 2018 (Wednesday)",7 p.m.,Away,Lawrence,"Appleton, Wis.",,,,"W,6-0",Box ScoreRecap
"October 7, 2018 (Sunday)",1 p.m.,Home,Wisconsin Lutheran,"RIPON, Wis./Prairie Field",,,Play For The Cure,"W,5-2",Box ScoreRecap
"October 11, 2018 (Thursday)",6 p.m.,Away,Univ. of Dubuque,"Dubuque, Iowa",,,,"L,1-3",Box ScoreRecap
"October 13, 2018 (Saturday)",1:30 p.m.,Home,Grinnell,"RIPON, Wis./Prairie Field",,,Play For The Cure,"L,2-3",Box ScoreRecap
"October 14, 2018 (Sunday)",1:30 p.m.,Home,Cornell (Iowa),"RIPON, Wis./Prairie Field",,,,"W,2-0",Box ScoreRecap
"October 17, 2018 (Wednesday)",3:30 p.m.,Home,St. Norbert,"RIPON, Wis./Prairie Field",,,,"L,2-5",Box ScoreRecap
"October 20, 2018 (Saturday)",1:30 p.m.,Home,Beloit,"RIPON, Wis./Prairie Field",,,,"W,1-0",Box ScoreRecap
"October 24, 2018 (Wednesday)",6:30 p.m.,Away,Saint Mary's (Minn.),"Winona, Minn.",,,,"L,3-5",Box ScoreRecap
"October 27, 2018 (Saturday)",1:30 p.m.,Away,Monmouth (Ill.),"Monmouth, Ill.",,,,"L,1-3",Box ScoreRecap
"November 2, 2018 (Friday)",11 a.m.,Away,Knox,"Galesburg, Ill.",,,Midwest Conference Tournament,"T,1-1(2OT) - Knox wins Shootout 4-2",Box ScoreRecap
