Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"March 3, 2024 (Sunday)",12:00 p.m.,Neutral,University of Wisconsin-Superior,"Oshkosh, Wis.",,,,"L,2-9",Box ScoreRecap
"March 3, 2024 (Sunday)",4:00 p.m.,Away,University of Wisconsin-Oshkosh,"Oshkosh, Wis.",,,,"L,0-8(5 innings)",Box ScoreRecap
"March 10, 2024 (Sunday)",8:15 a.m. CT,Neutral,North Central College,"Kissimmee, Fla./ Fortune Road Field 2",,,The Spring Games,"L,0-3",Box ScoreRecap
"March 10, 2024 (Sunday)",10:30 a.m. CT,Neutral,Trinity College (Conn.),"Kissimmee, Fla./ Fortune Road Field 2",,,The Spring Games,"L,0-2",Box ScoreRecap
"March 11, 2024 (Monday)",8:00 a.m. CT,Neutral,Salem State University,"Clermont, Fla./ Hancock Field 2",,,The Spring Games,"L,8-12",Box ScoreRecap
"March 11, 2024 (Monday)",10:15 a.m. CT,Neutral,Macalester College,"Clermont, Fla./ Hancock Field 2",,,The Spring Games,"L,6-7",Box ScoreRecap
"March 12, 2024 (Tuesday)",3:00 p.m. CT,Neutral,North Park University,"Clermont, Fla./ Legends Way Field 3",,,The Spring Games,"L,2-7",Box ScoreRecap
"March 12, 2024 (Tuesday)",5:30 p.m. CT,Neutral,University of Northwestern (MN),"Clermont, Fla./ Legends Way Field 3",,,The Spring Games,"W,8-5",Box ScoreRecap
"March 14, 2024 (Thursday)",10:30 a.m. CT,Neutral,University of Pittsburgh at Greensburg,"Kissimmee, Fla./ Fortune Road Field 2",,,The Spring Games,"L,4-6",Box ScoreRecap
"March 14, 2024 (Thursday)",12:45 p.m. CT,Neutral,Albertus Magnus College,"Kissimmee, Fla./ Fortune Road Field 1",,,The Spring Games,"W,2-1",Box ScoreRecap
"March 15, 2024 (Friday)",11:00 a.m. CT,Neutral,Hamline University,"Kissimmee, Fla./ Fortune Road Field 1",,,The Spring Games,"L,8-11",Box ScoreRecap
"March 15, 2024 (Friday)",1:15 p.m. CT,Neutral,Loras College,"Kissimmee, Fla./ Fortune Road Field 1",,,The Spring Games,"L,3-5",Box ScoreRecap
"April 9, 2024 (Tuesday)",2:00 p.m.,Away,Lakeland University,"Plymouth, Wis.",,,,"L,10-13",Box ScoreRecap
"April 9, 2024 (Tuesday)",4:00 p.m.,Away,Lakeland University,"Plymouth, Wis.",,,,"L,0-8(5 innings)",Box ScoreRecap
"April 10, 2024 (Wednesday)",1:00 p.m.,Home,Illinois College,"Ripon, Wis./Tracy Field",,,,"L,0-9(5 innings)",Box ScoreRecap
"April 10, 2024 (Wednesday)",3:00 PM,Home,Illinois College,"Ripon, Wis./Tracy Field",,,,"L,0-6",Box ScoreRecap
"April 13, 2024 (Saturday)",1:00 p.m.,Away,Monmouth College,"Monmouth, Ill.",,,,"L,4-6",Box ScoreRecap
"April 13, 2024 (Saturday)",3:00 p.m.,Away,Monmouth College,"Monmouth, Ill.",,,,"L,9-11",Box ScoreRecap
"April 14, 2024 (Sunday)",1:00 p.m.,Away,Cornell College,"Mount Vernon, Iowa",,,,"W,9-1(5 innings)",Box ScoreRecap
"April 14, 2024 (Sunday)",3:00 p.m.,Away,Cornell College,"Mount Vernon, Iowa",,,,"L,4-12(5 innings)",Box ScoreRecap
"April 16, 2024 (Tuesday)",1:00 p.m.,Home,Maranatha Baptist  University,"Ripon, Wis./Tracy Field",,,,"W,15-1(5 innings)",Box ScoreRecap
"April 16, 2024 (Tuesday)",3:00 p.m.,Home,Maranatha Baptist  University,"Ripon, Wis./Tracy Field",,,,"W,8-0(5 innings)",Box ScoreRecap
"April 20, 2024 (Saturday)",1:00 p.m.,Away,Grinnell College,"Grinnell, Iowa",,,,"L,0-10(5 innings)",Box ScoreRecap
"April 20, 2024 (Saturday)",3:00 p.m.,Away,Grinnell College,"Grinnell, Iowa",,,,"L,1-21(5 innings)",Box ScoreRecap
"April 23, 2024 (Tuesday)",3:00 p.m.,Home,Mount Mary University,"Ripon, Wis./Tracy Field",,,,"W,12-11",Box ScoreRecap
"April 23, 2024 (Tuesday)",5:00 p.m.,Home,Mount Mary University,"Ripon, Wis./Tracy Field",,,,"W,10-9",Box ScoreRecap
"April 25, 2024 (Thursday)",3:00 p.m.,Away,Lawrence University,"Appleton, Wis.",,,,"W,2-1",Box ScoreRecap
"April 25, 2024 (Thursday)",5:00 p.m.,Away,Lawrence University,"Appleton, Wis.",,,,"W,9-5",Box ScoreRecap
"April 29, 2024 (Monday)",3:00 p.m.,Home,Beloit College,"Ripon, Wis./Tracy Field",,,,"L,9-13",Box ScoreRecap
"April 29, 2024 (Monday)",5:00 p.m.,Home,Beloit College,"Ripon, Wis./Tracy Field",,,,"L,4-8",Box ScoreRecap
"May 1, 2024 (Wednesday)",3:00 p.m.,Away,Marian University,"Fond du Lac, Wis.",,,,"L,2-5",Box ScoreRecap
"May 1, 2024 (Wednesday)",5:00 p.m.,Away,Marian University,"Fond du Lac, Wis.",,,,"L,1-9(6 innings)",Box ScoreRecap
