Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"August 28, 2021 (Saturday)",9 a.m.,Away,MSOE,"Milwaukee, Wis.",,,,,History
"September 1, 2021 (Wednesday)",5 p.m.,Home,Lakeland,"RIPON, Wis./ Ripon High School Courts",,,,"W,9-0",Box ScoreRecap
"September 4, 2021 (Saturday)",10:30 a.m.,Home,Marian (Wis.),"RIPON, Wis./ Ripon High School Courts",,,,"W,8-1",Box ScoreRecap
"September 9, 2021 (Thursday)",4 p.m.,Away,MSOE,"Milwaukee, Wis.",,,,"W,5-4",Box ScoreRecap
"September 11, 2021 (Saturday)",11 a.m.,Neutral,UW-Superior,"Stevens Point, Wis.",,,,"L,2-7",Box ScoreRecap
"September 11, 2021 (Saturday)",2 p.m.,Away,UW-Stevens Point,"Stevens Point, Wis.",,,,"L,2-7",Box ScoreRecap
"September 18, 2021 (Saturday)",9 a.m.,Away,Grinnell,"Grinnell, Iowa",,,,"L,0-9",Box ScoreRecap
"September 18, 2021 (Saturday)",3 p.m.,Away,Cornell (Iowa),"Mount Vernon, Iowa",,,,"L,3-6",Box ScoreRecap
"September 25, 2021 (Saturday)",9 a.m.,Home,Monmouth (Ill.),"RIPON, Wis./ Ripon High School Courts",,,,"W,9-0",Box ScoreRecap
"September 25, 2021 (Saturday)",1 p.m.,Home,Illinois College,"RIPON, Wis./ Ripon High School Courts",,,,"W,6-3",Box ScoreRecap
"September 26, 2021 (Sunday)",12 p.m.,Away,Lake Forest,"Lake Forest, Ill.",,,,"L,2-7",Box ScoreRecap
"October 2, 2021 (Saturday)",11 a.m.,Home,Lawrence,"RIPON, Wis./ Ripon High School Courts",,,,"L,2-7",Box ScoreRecap
"October 7, 2021 (Thursday)",5 p.m.,Home,UW-Oshkosh,"RIPON, Wis./Willmore Center",,,,"L,3-6",Box ScoreRecap
"October 16, 2021 (Saturday)",8 a.m.,Neutral,MWC Individual Tournament,"Madison, Wis./ Nielsen Tennis Center",,,Midwest Conference Individual Tournament,,RecapIndividual Results
"October 17, 2021 (Sunday)",8 a.m.,Neutral,MWC Individual Tournament,"Madison, Wis./ Nielsen Tennis Center",,,Midwest Conference Individual Tournament,,RecapIndividual Results
