Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"March 11, 2012 (Sunday)",1:30 p.m. EDT,Neutral,Anderson Univ.,,,,"16 Central Florida Invitational Winter Haven & Auburndale, Fla.","L,6-4",
"March 11, 2012 (Sunday)",1:30 p.m. EDT,Neutral,Anderson Univ.,,,,"16 Central Florida Invitational Winter Haven & Auburndale, Fla.","L,10-4",
"March 12, 2012 (Monday)",1:30 p.m. EDT,Neutral,Edgewood College,,,,"16 Central Florida Invitational Winter Haven & Auburndale, Fla.","W,17-1",
"March 12, 2012 (Monday)",1:30 p.m. EDT,Neutral,Edgewood College,,,,"16 Central Florida Invitational Winter Haven & Auburndale, Fla.","W,11-7",
"March 13, 2012 (Tuesday)",12:30 p.m. EDT,Neutral,Greenville College,,,,"16 Central Florida Invitational Winter Haven & Auburndale, Fla.","W,10-6",
"March 15, 2012 (Thursday)",9:30 a.m. EDT,Neutral,Webster Univ.,,,,"16 Central Florida Invitational Winter Haven & Auburndale, Fla.","W,4-1",
"March 16, 2012 (Friday)",2 p.m. EDT,Neutral,Dickinson College,,,,"16 Central Florida Invitational Winter Haven & Auburndale, Fla.","L,9-3",
"March 16, 2012 (Friday)",2 p.m. EDT,Neutral,Dickinson College,,,,"16 Central Florida Invitational Winter Haven & Auburndale, Fla.","W,11-7",
"March 17, 2012 (Saturday)",10 a.m. EDT,Neutral,Univ. of Massachusetts-Boston,,,,"16 Central Florida Invitational Winter Haven & Auburndale, Fla.","W,4-3",
"March 31, 2012 (Saturday)",Noon,Away,Washington (Mo.) Univ.,,,,,"L,8-6",
"March 31, 2012 (Saturday)",Noon,Away,Washington (Mo.) Univ.,,,,,"L,3-2",
"April 1, 2012 (Sunday)",11 a.m.,Away,Washington (Mo.) Univ.,,,,,"L,25-13",
"April 5, 2012 (Thursday)",4 p.m.,Away,Concordia Univ. Wisconsin,,,,,"L,3-2",
"April 9, 2012 (Monday)",1 p.m.,Home,UW-Stevens Point,,,,,"W,2-110 inn.",
"April 9, 2012 (Monday)",1 p.m.,Home,UW-Stevens Point,,,,,"L,10-3",
"April 14, 2012 (Saturday)",1 p.m.,Home,Beloit College,,,,,"L,10-7",
"April 14, 2012 (Saturday)",1 p.m.,Home,Beloit College,,,,,"W,19-15",
"April 16, 2012 (Monday)",1 p.m.,Away,Beloit College,,,,,"W,9-5",
"April 16, 2012 (Monday)",1 p.m.,Away,Beloit College,,,,,"L,13-7",
"April 17, 2012 (Tuesday)",4:20 p.m.,Home,Lakeland College,,,,,"W,12-2",
"April 18, 2012 (Wednesday)",4:20 p.m.,Home,Concordia Univ. Wisconsin,,,,,"W,11-1",
"April 21, 2012 (Saturday)",1 p.m.,Home,Carroll Univ.,,,,,"W,9-2",
"April 21, 2012 (Saturday)",1 p.m.,Home,Carroll Univ.,,,,,"W,11-1",
"April 22, 2012 (Sunday)",1 p.m.,Away,Carroll Univ.,,,,,"W,11-3",
"April 22, 2012 (Sunday)",1 p.m.,Away,Carroll Univ.,,,,,"W,9-7",
"April 28, 2012 (Saturday)",Noon,Home,Lawrence Univ.,,,,,"W,6-1",
"April 28, 2012 (Saturday)",Noon,Home,Lawrence Univ.,,,,,"W,24-2",
"April 29, 2012 (Sunday)",Noon,Away,Lawrence Univ.,,,,,"W,14-10",
"April 29, 2012 (Sunday)",Noon,Away,Lawrence Univ.,,,,,"W,10-8",
"May 1, 2012 (Tuesday)",5 p.m.,Away,Carthage College,,,,,"L,10-9",
"May 5, 2012 (Saturday)",1 p.m.,Home,Ripon College,,,,,"W,5-4",
"May 5, 2012 (Saturday)",1 p.m.,Home,Ripon College,,,,,"W,3-2",
"May 7, 2012 (Monday)",1:30 p.m.,Away,Ripon College,,,,,"W,8-5",
"May 7, 2012 (Monday)",1:30 p.m.,Away,Ripon College,,,,,"W,10-4",
"May 11, 2012 (Friday)",9 a.m.,Neutral,Knox College,,,,"16 Midwest Conference Tournament at North Diamond - Grinnell, Iowa","W,3-1",
"May 11, 2012 (Friday)",1 p.m.,Neutral,Beloit College,,,,"16 Midwest Conference Tournament at North Diamond - Grinnell, Iowa","W,14-0",
"May 12, 2012 (Saturday)",1 p.m.,Neutral,Beloit College,,,,"16 Midwest Conference Tournament at North Diamond - Grinnell, Iowa","W,12-3",
"May 16, 2012 (Wednesday)",1 p.m.,Neutral,Univ. of St. Thomas,,,,"16 NCAA Division III Midwest Regional at Prucha Field - Whitewater, Wis.","L,5-1",
"May 17, 2012 (Thursday)",10 a.m.,Neutral,Concordia University Chicago,,,,"16 NCAA Division III Midwest Regional at Prucha Field - Whitewater, Wis.","W,5-0",
"May 18, 2012 (Friday)",1:40 p.m.,Neutral,Aurora Univ.,,,,"16 NCAA Division III Midwest Regional at Prucha Field - Whitewater, Wis.","L,11-5",
