Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 12, 1987 (Saturday)",,Away,Michigan Tech,"Houghton, Mich.",,,"L,31-17",
"September 19, 1987 (Saturday)",,Away,Dayton,"Dayton, Ohio",,,"L,31-8",
"September 26, 1987 (Saturday)",,Home,Cornell College,"De Pere, Wis. - Minahan Stadium",,,"W,52-14",
"October 3, 1987 (Saturday)",,Away,Grinnell,"Grinnell, Iowa",,,"W,57-10",
"October 10, 1987 (Saturday)",,Home,Lake Forest,"De Pere, Wis. - Minahan Stadium",,,"W,38-0",
"October 17, 1987 (Saturday)",,Home,Lawrence,"De Pere, Wis. - Minahan Stadium",,,"L,20-0",
"October 24, 1987 (Saturday)",,Away,Ripon,"Ripon, Wis.",,,"W,31-28",
"October 31, 1987 (Saturday)",,Away,Beloit,"Beloit, Wis.",,,"W,27-9",
"November 7, 1987 (Saturday)",,Home,Chicago,"De Pere, Wis. - Minahan Stadium",,,"W,23-7",
"November 14, 1987 (Saturday)",,Away,Monmouth,"Monmouth, Ill.",,,"W,20-15",
