Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"September 1, 2023 (Friday)",6 p.m. EDT,Away,Calvin Univ.,"Grand Rapids, Mich.",,,,"L,4-2",Box ScoreRecapGame Book (PDF)
"September 2, 2023 (Saturday)",6 p.m. EDT,Away,Hope College,"Holland, Mich.",,,,"T,0-0",Box ScoreRecapGame Book (PDF)
"September 6, 2023 (Wednesday)",7:30 p.m.,Away,North Park Univ.,"Chicago, Ill.",,,,"L,1-0",Box ScoreRecapGame Book (PDF)
"September 8, 2023 (Friday)",7 p.m.,Home,College of St. Scholastica,"De Pere, Wis./Donald J. Schneider Stadium",,,,"W,6-1",Box ScoreRecapGame Book (PDF)
"September 10, 2023 (Sunday)",Noon,Home,Carroll Univ.,"De Pere, Wis./Donald J. Schneider Stadium",,,,"L,2-1",Box ScoreRecapGame Book (PDF)Gallery
"September 13, 2023 (Wednesday)",7 p.m.,Home,Lakeland Univ.,"De Pere, Wis./Donald J. Schneider Stadium",,,,"W,1-0",Box ScoreRecapGame Book (PDF)
"September 16, 2023 (Saturday)",7:30 p.m.,Away,Benedictine Univ.,"Lisle, Ill.",,,,"T,1-1",Box ScoreRecapGame Book (PDF)
"September 20, 2023 (Wednesday)",7 p.m.,Away,Marian Univ.,"Fond du Lac, Wis.",,,,"W,3-1",Box ScoreRecapGame Book (PDF)
"September 23, 2023 (Saturday)",3:30 p.m.,Home,Dominican Univ.,"De Pere, Wis./Donald J. Schneider Stadium",,,,"L,3-1",Box ScoreRecapGame Book (PDF)
"September 27, 2023 (Wednesday)",4 p.m.,Away,Concordia Univ. Wisconsin,"Mequon, Wis.",,,,"W,2-1",Box ScoreRecapGame Book (PDF)
"October 1, 2023 (Sunday)",3:30 p.m.,Away,Concordia Univ. Chicago,"River Forest, Ill.",,,,"W,6-0",Box ScoreRecapGame Book (PDF)
"October 8, 2023 (Sunday)",3:30 p.m.,Home,Rockford Univ.,"De Pere, Wis./Donald J. Schneider Stadium",,,,"W,3-0",Box ScoreRecapGame Book (PDF)
"October 11, 2023 (Wednesday)",7 p.m.,Away,Wisconsin Lutheran College,"Wauwatosa, Wis.",,,,"L,1-0",Box ScoreRecapGame Book (PDF)
"October 14, 2023 (Saturday)",3:30 p.m.,Away,Illinois Institute of Technology,"Chicago, Ill.",,,,"W,4-1",Box ScoreRecapGame Book (PDF)
"October 18, 2023 (Wednesday)",7 p.m.,Home,Milwaukee School of Engineering,"De Pere, Wis./Donald J. Schneider Stadium",,,,"T,1-1",Box ScoreRecapGame Book (PDF)Gallery
"October 21, 2023 (Saturday)",3:30 p.m.,Home,Aurora Univ.,"De Pere, Wis./Donald J. Schneider Stadium",,,,"L,2-1",Box ScoreRecapGame Book (PDF)Gallery
"October 25, 2023 (Wednesday)",7 p.m.,Home,Edgewood College,"De Pere, Wis./Donald J. Schneider Stadium",,,,"W,6-0",Box ScoreRecapGame Book (PDF)
"October 28, 2023 (Saturday)",4 p.m.,Home,Wisconsin Lutheran College (Quarterfinal Match),"De Pere, Wis./Donald J. Schneider Stadium",,,Northern Athletics Collegiate Conference Tournament,"T,0-0(2 OT) (3-2 PK)",Box ScoreRecapGame Book (PDF)Gallery
"November 1, 2023 (Wednesday)",4 p.m.,Away,Milwaukee School of Engineering (Semifinal Match),"Milwaukee, Wis.",,,Northern Athletics Collegiate Conference Tournament,"L,1-0",Box ScoreRecapGame Book (PDF)
