Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"September 1, 2015 (Tuesday)",4 p.m.,Home,Milwaukee School of Engineering,,,,,"L,1-0",
"September 6, 2015 (Sunday)",Noon,Home,Wisconsin Lutheran College,,,,,"W,11-0",
"September 9, 2015 (Wednesday)",7 p.m.,Away,Marian Univ.,,,,,"W,6-2",
"September 12, 2015 (Saturday)",5 p.m.,Away,Carthage College,,,,,"W,3-2",
"September 13, 2015 (Sunday)",Noon,Away,Dominican Univ.,,,,,"L,4-1",
"September 19, 2015 (Saturday)",1 p.m.,Home,Beloit College,,,,,"W,6-1",
"September 23, 2015 (Wednesday)",6:30 p.m.,Home,Concordia Univ. Wisconsin,,,,,"L,3-2",
"September 26, 2015 (Saturday)",Noon,Away,Carroll Univ.,,,,,"W,2-1",
"October 3, 2015 (Saturday)",11 a.m.,Away,Monmouth College,,,,,"W,4-0",
"October 4, 2015 (Sunday)",11 a.m.,Away,Illinois College,,,,,"L,2-12 OT",
"October 7, 2015 (Wednesday)",6 p.m.,Home,Lawrence Univ.,,,,,"W,6-1",
"October 11, 2015 (Sunday)",11 a.m.,Home,Knox College,,,,,"W,1-0",
"October 14, 2015 (Wednesday)",7 p.m.,Away,UW-Oshkosh,,,,,"T,2-22 OT",
"October 17, 2015 (Saturday)",11 a.m.,Home,Cornell College,,,,,"W,7-0",
"October 18, 2015 (Sunday)",11 a.m.,Home,Grinnell College,,,,,"W,1-0",
"October 24, 2015 (Saturday)",2 p.m.,Home,UW-La Crosse,,,,,"T,1-12 OT",
"October 28, 2015 (Wednesday)",3:30 p.m.,Away,Ripon College,,,,,"W,4-3",
"November 1, 2015 (Sunday)",Noon,Away,Lake Forest College,,,,,"L,5-4",
"November 6, 2015 (Friday)",11 a.m.,Neutral,Carroll Univ.,,,,"24 Midwest Conference Tournament Lake Forest College - Lake Forest, Ill.","L,3-1",
