Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"March 15, 2020 (Sunday)",12:30 p.m. EDT,Neutral,Endicott College,,,,"25 The Spring Games Kissimmee & Clermont, Fla.",cancelled,
"March 15, 2020 (Sunday)",10:15 a.m. EDT,Neutral,SUNY-Geneseo,,,,"25 The Spring Games Kissimmee & Clermont, Fla.",cancelled,
"March 16, 2020 (Monday)",10 a.m. EDT,Neutral,Hope College,,,,"25 The Spring Games Kissimmee & Clermont, Fla.",cancelled,
"March 16, 2020 (Monday)",12:15 p.m. EDT,Neutral,Tufts Univ.,,,,"25 The Spring Games Kissimmee & Clermont, Fla.",cancelled,
"March 17, 2020 (Tuesday)",11:30 a.m. EDT,Neutral,Coe College,,,,"25 The Spring Games Kissimmee & Clermont, Fla.",cancelled,
"March 17, 2020 (Tuesday)",9:15 a.m. EDT,Neutral,Rutgers Univ.-Camden,,,,"25 The Spring Games Kissimmee & Clermont, Fla.",cancelled,
"March 19, 2020 (Thursday)",2:45 p.m. EDT,Neutral,Carleton College,,,,"25 The Spring Games Kissimmee & Clermont, Fla.",cancelled,
"March 19, 2020 (Thursday)",5 p.m. EDT,Neutral,McDaniel College,,,,"25 The Spring Games Kissimmee & Clermont, Fla.",cancelled,
"March 20, 2020 (Friday)",10:15 a.m. EDT,Neutral,UW-Whitewater,,,,"25 The Spring Games Kissimmee & Clermont, Fla.",cancelled,
"March 20, 2020 (Friday)",2:45 p.m. EDT,Neutral,SUNY-New Paltz,,,,"25 The Spring Games Kissimmee & Clermont, Fla.",cancelled,
"March 28, 2020 (Saturday)",1 p.m.,Home,Lake Forest College,,,,,cancelled,
"March 29, 2020 (Sunday)",1 p.m.,Home,Carthage College,,,,,cancelled,
"April 1, 2020 (Wednesday)",3 p.m.,Away,Carroll Univ.,,,,,cancelled,
"April 2, 2020 (Thursday)",2 p.m.,Home,UW-Eau Claire,,,,,cancelled,
"April 4, 2020 (Saturday)",1 p.m.,Away,Monmouth College,,,,,cancelled,
"April 5, 2020 (Sunday)",Noon,Away,Grinnell College,,,,,cancelled,
"April 7, 2020 (Tuesday)",2 p.m.,Away,UW-Stevens Point,,,,,cancelled,
"April 11, 2020 (Saturday)",1 p.m.,Home,Beloit College,,,,,cancelled,
"April 14, 2020 (Tuesday)",3 p.m.,Away,Ripon College,,,,,cancelled,
"April 16, 2020 (Thursday)",3 p.m.,Away,Lawrence Univ.,,,,,cancelled,
"April 18, 2020 (Saturday)",1 p.m.,Home,Knox College,,,,,cancelled,
"April 19, 2020 (Sunday)",Noon,Home,Illinois College,,,,,cancelled,
"April 21, 2020 (Tuesday)",3 p.m.,Home,Lakeland Univ.,,,,,cancelled,
"April 22, 2020 (Wednesday)",3 p.m.,Away,UW-Oshkosh,,,,,cancelled,
"April 25, 2020 (Saturday)",1 p.m.,Away,Cornell College,,,,,cancelled,
