Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"August 30, 2013 (Friday)",4 p.m.,Away,Elmhurst College,,,,"31 Elmhurst College Tournament, Faganel Hall - Elmhurst, Ill.","L,3-0",
"August 30, 2013 (Friday)",6 p.m.,Neutral,Occidental College,,,,"31 Elmhurst College Tournament, Faganel Hall - Elmhurst, Ill.","L,3-1",
"August 31, 2013 (Saturday)",9 a.m.,Neutral,Olivet College,,,,"31 Elmhurst College Tournament, Faganel Hall - Elmhurst, Ill.","W,3-1",
"August 31, 2013 (Saturday)",1 p.m.,Neutral,Univ. of Chicago,,,,"31 Elmhurst College Tournament, Faganel Hall - Elmhurst, Ill.","L,3-1",
"September 6, 2013 (Friday)",6 p.m.,Neutral,Edgewood College,,,,"31 UW-Platteville Tournament, Williams Fieldhouse - Platteville, Wis.","L,3-0",
"September 6, 2013 (Friday)",8 p.m.,Neutral,Grinnell College,,,,"31 UW-Platteville Tournament, Williams Fieldhouse - Platteville, Wis.","W,3-0",
"September 7, 2013 (Saturday)",Noon,Neutral,Millikin Univ.,,,,"31 UW-Platteville Tournament, Williams Fieldhouse - Platteville, Wis.","L,3-2",
"September 7, 2013 (Saturday)",2 p.m.,Away,UW-Platteville,,,,"31 UW-Platteville Tournament, Williams Fieldhouse - Platteville, Wis.","W,3-0",
"September 11, 2013 (Wednesday)",5:30 p.m.,Neutral,UW-Stevens Point,,,,,"L,3-0",
"September 11, 2013 (Wednesday)",7:30 p.m.,Away,UW-Oshkosh,,,,,"L,3-0",
"September 13, 2013 (Friday)",5:30 p.m.,Neutral,North Central College,,,,"31 UW-Oshkosh Tournament, Kolf Sports Center - Oshkosh, Wis.","W,3-1",
"September 13, 2013 (Friday)",7:30 p.m.,Neutral,Martin Luther College,,,,"31 UW-Oshkosh Tournament, Kolf Sports Center - Oshkosh, Wis.","L,3-2",
"September 14, 2013 (Saturday)",10 a.m.,Neutral,Wartburg College,,,,"31 UW-Oshkosh Tournament, Kolf Sports Center - Oshkosh, Wis.","L,3-0",
"September 14, 2013 (Saturday)",Noon,Neutral,Concordia Univ. Wisconsin,,,,"31 UW-Oshkosh Tournament, Kolf Sports Center - Oshkosh, Wis.","W,3-0",
"September 20, 2013 (Friday)",6 p.m.,Neutral,Concordia Univ. Wisconsin,,,,"31 Ripon College Tournament, Storzer Center - Ripon, Wis.","W,3-1",
"September 20, 2013 (Friday)",8 p.m.,Away,Ripon College,,,,"31 Ripon College Tournament, Storzer Center - Ripon, Wis.","L,3-1",
"September 21, 2013 (Saturday)",10 a.m.,Neutral,St. Mary's Univ.,,,,"31 Ripon College Tournament, Storzer Center - Ripon, Wis.","L,3-0",
"September 21, 2013 (Saturday)",2 p.m.,Neutral,Lakeland College,,,,"31 Ripon College Tournament, Storzer Center - Ripon, Wis.","L,3-0",
"October 4, 2013 (Friday)",7 p.m.,Home,Cornell College,,,,,"L,3-0",
"October 5, 2013 (Saturday)",1 p.m.,Home,Grinnell College,,,,,"W,3-0",
"October 9, 2013 (Wednesday)",7 p.m.,Away,Carroll Univ.,,,,,"L,3-1",
"October 11, 2013 (Friday)",7 p.m.,Home,Illinois College,,,,,"W,3-0",
"October 18, 2013 (Friday)",7 p.m.,Home,Beloit College,,,,,"W,3-0",
"October 19, 2013 (Saturday)",1 p.m.,Home,Lake Forest College,,,,,"W,3-0",
"October 22, 2013 (Tuesday)",7 p.m.,Away,Lawrence Univ.,,,,,"W,3-0",
"October 25, 2013 (Friday)",7 p.m.,Away,Knox College,,,,,"W,3-0",
"October 26, 2013 (Saturday)",1 p.m.,Away,Monmouth College,,,,,"W,3-0",
"October 29, 2013 (Tuesday)",7 p.m.,Away,Ripon College,,,,,"W,3-0",
"November 2, 2013 (Saturday)",Noon,Neutral,St. Catherine Univ.,,,,,"W,3-1",
"November 2, 2013 (Saturday)",2 p.m.,Neutral,UW-La Crosse,,,,,"L,3-2",
"November 8, 2013 (Friday)",4:30 p.m.,Neutral,Carroll Univ.,,,,"31 Midwest Conference Tournament, Richard & Norma Small Multi-Sport Center - Mount Vernon, iowa","W,3-1",
"November 9, 2013 (Saturday)",4 p.m.,Away,Cornell College,,,,"31 Midwest Conference Tournament, Richard & Norma Small Multi-Sport Center - Mount Vernon, iowa","L,3-0",
