Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 7, 2019 (Saturday)",6 pm,Home,Washington (Mo.),,,,"L,7-43",Box ScoreRecap
"September 14, 2019 (Saturday)",1 pm,Away,Simpson,"Indianola, IA",,,"L,23-27",Box ScoreRecap
"September 28, 2019 (Saturday)",1 pm,Home,Lake Forest,,,,"W,27-10",Box ScoreRecap
"October 5, 2019 (Saturday)",1 pm,Away,Beloit,"Beloit, WI",,,"W,48-0",Box ScoreRecap
"October 12, 2019 (Saturday)",2 pm,Home,Knox,,,,"W,37-6",Box ScoreRecap
"October 19, 2019 (Saturday)",1 pm,Away,Cornell College,"Mount Vernon, IA",,,"W,56-7",Box ScoreRecap
"October 26, 2019 (Saturday)",1 pm,Away,Grinnell,"Grinnell, IA",,,Canceled,
"November 2, 2019 (Saturday)",1 pm,Home,Monmouth (Ill.),,,,"L,20-21",Box ScoreRecap
"November 9, 2019 (Saturday)",1 pm,Away,Illinois College,"Jacksonville, IL",,,"W,20-14",Box ScoreRecap
"November 16, 2019 (Saturday)",12 pm,Home,Lake Forest,,,,"W,35-21",Box ScoreRecap
