Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 5, 2020 (Saturday)",Cancelled,Away,North Park,,,,Canceled,
"September 16, 2020 (Wednesday)",7 pm,Away,Carthage,,,,Canceled,
"September 19, 2020 (Saturday)",7 pm,Home,Wheaton (Ill.),,,,Canceled,
"October 3, 2020 (Saturday)",1:30 pm,Away,Emory,,,,Canceled,
"October 6, 2020 (Tuesday)",Cancelled,Home,Wabash,,,,Canceled,
"October 10, 2020 (Saturday)",1:30 pm,Home,Rochester (N.Y.),,,,Canceled,
"October 16, 2020 (Friday)",5:30 pm,Home,Brandeis,,,,Canceled,
"October 18, 2020 (Sunday)",1:30 pm,Home,New York U.,,,,Canceled,
"November 1, 2020 (Sunday)",1:30 pm,Away,Carnegie Mellon,,,,Canceled,
"November 7, 2020 (Saturday)",1 pm,Away,Washington (Mo.),,,,Canceled,
