Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 1, 2022 (Thursday)",4:45 pm,Away,#24 Pomona-Pitzer,,,,"L,0-3",Box ScoreRecap
"September 3, 2022 (Saturday)",10 am,Away,Claremont-Mudd-Scripps,,,,"W,4-2",Box ScoreRecap
"September 7, 2022 (Wednesday)",4 pm,Away,Kalamazoo,,,,"W,2-0",Box ScoreRecap
"September 9, 2022 (Friday)",4 pm,Home,Penn St.-Behrend,,,,"W,4-0",Box ScoreRecap
"September 11, 2022 (Sunday)",4 pm,Home,Milwaukee School of Engineering,,,,"W,1-0",Box ScoreRecap
"September 14, 2022 (Wednesday)",7 pm,Away,Wheaton (Ill.),,,,"W,1-0",Box ScoreRecap
"September 17, 2022 (Saturday)",4 pm,Away,Calvin,,,,"L,0-2",Box ScoreRecap
"September 21, 2022 (Wednesday)",3 pm,Home,Hope,,,,"L,1-2",Box ScoreRecap
"September 24, 2022 (Saturday)",3 pm,Home,Knox,,,,"W,5-0",Box ScoreRecap
"September 27, 2022 (Tuesday)",7 pm,Away,Elmhurst,,,,"W,7-0",Box ScoreRecap
"October 2, 2022 (Sunday)",1:30 pm,Away,Rochester (N.Y.),,,,"T,0-0",Box ScoreRecap
"October 8, 2022 (Saturday)",1:30 pm,Home,Emory,,,,"L,0-3",Box ScoreRecap
"October 14, 2022 (Friday)",4:30 pm,Home,#11 Carnegie Mellon,,,,"L,0-1",Box ScoreRecap
"October 16, 2022 (Sunday)",1:30 pm,Home,#6 Case Western Reserve,,,,"L,0-1",Box ScoreRecap
"October 20, 2022 (Thursday)",7 pm,Away,Illinois Tech,,,,"L,0-3",Box ScoreRecap
"October 28, 2022 (Friday)",6:30 pm,Away,New York U.,,,,"L,1-2",Box ScoreRecap
"October 30, 2022 (Sunday)",1:30 pm,Away,Brandeis,,,,"T,2-2",Box ScoreRecap
"November 5, 2022 (Saturday)",1:30 pm,Home,Washington (Mo.),,,,"T,1-1",Box ScoreRecap
