Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"March 18, 2007 (Sunday)",TBA,Neutral,SUNY-Fredonia,"Fort Myers, FL",,,Florida Trip,"W,9-0",
"March 18, 2007 (Sunday)",TBA,Neutral,UW-Superior,"Fort Myers, FL",,,Florida Trip,"W,8-0",
"March 19, 2007 (Monday)",5 PM ET,Neutral,D'Youville,"Fort Myers, FL",,,Florida Trip,"W,9-1(5 Inn.)",
"March 19, 2007 (Monday)",7:30 PM ET,Neutral,Lasell,"Fort Myers, FL",,,Florida Trip,"W,9-1(6 Inn.)",
"March 20, 2007 (Tuesday)",TBA,Neutral,UW-Superior,"Fort Myers, FL",,,Florida Trip,"W,4-3",
"March 20, 2007 (Tuesday)",TBA,Neutral,Hamline,"Fort Myers, FL",,,Florida Trip,"L,3-5",
"March 22, 2007 (Thursday)",3 PM ET,Neutral,Bowdoin,"Fort Myers, FL",,,Florida Trip,"W,7-1",
"March 22, 2007 (Thursday)",7:30 PM CT,Neutral,Southern Maine,"Fort Myers, FL",,,Florida Trip,"W,7-6(9 Inn.)",
"March 23, 2007 (Friday)",TBA,Neutral,SUNY-New Paltz,"Fort Myers, FL",,,Florida Trip,"W,13-1",
"March 23, 2007 (Friday)",TBA,Neutral,Albright,"Fort Myers, FL",,,Florida Trip,"L,9-10",
"March 27, 2007 (Tuesday)",TBA,Away,North Central (IL),"Naperville, IL",,,,"W,3-1",
"March 27, 2007 (Tuesday)",TBA,Away,North Central (IL),"Naperville, IL",,,,"W,4-2",
"March 29, 2007 (Thursday)",TBA,Home,Wheaton (IL),"Chicago, IL | Stagg Grass Fields",,,,"L,4-6",
"March 29, 2007 (Thursday)",TBA,Home,Wheaton (IL),"Chicago, IL | Stagg Grass Fields",,,,"L,3-7",
"March 31, 2007 (Saturday)",TBA,Home,Illinois Wesleyan,"Chicago, IL | Stagg Grass Fields",,,,"W,5-1",
"March 31, 2007 (Saturday)",TBA,Home,Illinois Wesleyan,"Chicago, IL | Stagg Grass Fields",,,,"W,2-0",
"April 1, 2007 (Sunday)",TBA,Away,Kalamazoo,"Kalamazoo, MI",,,,"W,9-1",
"April 1, 2007 (Sunday)",TBA,Away,Kalamazoo,"Kalamazoo, MI",,,,"W,16-1",
"April 14, 2007 (Saturday)",TBA,Neutral,Maryville (MO),"Bloomington, IL",,,Illinois Wesleyan Tournament,"L,3-10",
"April 14, 2007 (Saturday)",TBA,Neutral,Webster,"Bloomington, IL",,,Illinois Wesleyan Tournament,"W,10-9",
"April 15, 2007 (Sunday)",TBA,Neutral,WashU,"Bloomington, IL",,,Illinois Wesleyan Tournament,"L,2-12",
"April 15, 2007 (Sunday)",TBA,Neutral,Webster,"Bloomington, IL",,,Illinois Wesleyan Tournament,"W,6-4",
"April 17, 2007 (Tuesday)",TBA,Away,Hope,"Holland, MI",,,,"L,2-3",
"April 17, 2007 (Tuesday)",TBA,Away,Hope,"Holland, MI",,,,"W,5-2(9 Inn.)",
"April 21, 2007 (Saturday)",TBA,Away,UW-Whitewater,"Whitewater, WI",,,,"W,7-4",
"April 21, 2007 (Saturday)",TBA,Away,UW-Whitewater,"Whitewater, WI",,,,"L,8-9",
"April 24, 2007 (Tuesday)",4 PM CT,Away,Lake Forest,"Lake Forest, IL",,,,"W,4-3",
"April 24, 2007 (Tuesday)",6 PM CT,Away,Lake Forest,"Lake Forest, IL",,,,"W,7-4",
"April 27, 2007 (Friday)",3:30 PM CT,Home,Aurora,"Chicago, IL | Stagg Grass Fields",,,,"W,3-0",Box Score
"April 27, 2007 (Friday)",5:30 PM CT,Home,Aurora,"Chicago, IL | Stagg Grass Fields",,,,"W,6-2",Box Score
"April 29, 2007 (Sunday)",TBA,Home,Lawrence,"Chicago, IL | Stagg Grass Fields",,,,"W,9-1",
"April 29, 2007 (Sunday)",TBA,Home,Lawrence,"Chicago, IL | Stagg Grass Fields",,,,"W,10-4",
"May 1, 2007 (Tuesday)",TBA,Home,UW-Oshkosh,"Chicago, IL | Stagg Grass Fields",,,,"W,2-1",
"May 1, 2007 (Tuesday)",TBA,Home,UW-Oshkosh,"Chicago, IL | Stagg Grass Fields",,,,"L,4-6",
"May 10, 2007 (Thursday)",TBA,Neutral,Coe,"Eau Claire, WI",,,NCAA Regional Tournament at UW-Eau Claire,"L,1-2",
"May 11, 2007 (Friday)",TBA,Neutral,St. Norbert,"Eau Claire, WI",,,NCAA Regional Tournament at UW-Eau Claire,"W,2-0",
"May 11, 2007 (Friday)",TBA,Neutral,Coe,"Eau Claire, WI",,,NCAA Regional Tournament at UW-Eau Claire,"L,0-8",
