Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 1, 2015 (Tuesday)",7 pm,Home,Concordia (Wis.),,,,"W,3-0",Box ScoreRecap
"September 4, 2015 (Friday)",7 pm,Home,Millikin,,,,"W,3-0",Box ScoreRecap
"September 5, 2015 (Saturday)",12 pm,Home,Aurora,,,,"W,3-0",Box ScoreRecapPhotos
"September 5, 2015 (Saturday)",2:30 pm,Home,#3 Hope,,,,"W,3-2",Box ScoreRecapPhotos
"September 11, 2015 (Friday)",4 pm,Neutral,Simpson,"Aurora, Ill.",,,"W,3-0",Box ScoreRecap
"September 11, 2015 (Friday)",6 pm,Away,Aurora,,,,"W,3-0",Box ScoreRecap
"September 12, 2015 (Saturday)",12 pm,Neutral,Central (Iowa),"Aurora, Ill.",,,"W,3-0",Box ScoreRecap
"September 12, 2015 (Saturday)",2 pm,Neutral,Benedictine (Ill.),"Aurora, Ill.",,,"W,3-0",Box ScoreRecap
"September 16, 2015 (Wednesday)",7 pm,Away,Ill. Wesleyan,,,,"L,2-3",Box ScoreRecap
"September 18, 2015 (Friday)",6 pm,Neutral,#5 Wis.-Stevens Point,"Kenosha, Wis.",,,"W,3-2",Box ScoreRecap
"September 19, 2015 (Saturday)",10 am,Neutral,Bethel (Minn.),"Kenosha, Wis.",,,"W,3-0",Box ScoreRecap
"September 19, 2015 (Saturday)",2 pm,Neutral,Wis.-Eau Claire,"Kenosha, Wis.",,,"W,3-0",Box ScoreRecap
"September 23, 2015 (Wednesday)",4 pm,Away,Dominican (Ill.),,,,"L,2-3",Box ScoreRecap
"September 23, 2015 (Wednesday)",6 pm,Neutral,#16 Elmhurst,"River Forest, Ill.",,,"L,2-3",Box ScoreRecap
"September 26, 2015 (Saturday)",12 pm,Neutral,Wis.-Stout,"Whitewater, Wis.",,,"W,3-2",Box ScoreRecap
"September 26, 2015 (Saturday)",2 pm,Away,#15 Wis.-Whitewater,,,,"L,0-3",Box ScoreRecap
"October 3, 2015 (Saturday)",12 pm,Neutral,Rochester (N.Y.),"New York, N.Y.",,,"W,3-0",Box ScoreRecap
"October 3, 2015 (Saturday)",4 pm,Away,New York U.,"New York, N.Y.",,,"W,3-1",Box ScoreRecap
"October 4, 2015 (Sunday)",12 pm,Neutral,#2 Washington (Mo.),"New York, N.Y.",,,"L,1-3",Box ScoreRecap
"October 17, 2015 (Saturday)",12:30 pm,Neutral,Case Western Reserve,"Cleveland, Ohio",,,"L,0-3",Box ScoreRecap
"October 17, 2015 (Saturday)",2:30 pm,Neutral,Carnegie Mellon,"Cleveland, Ohio",,,"L,1-3",Box ScoreRecap
"October 18, 2015 (Sunday)",10 am,Neutral,Brandeis,"Cleveland, Ohio",,,"W,3-0",Box ScoreRecap
"October 18, 2015 (Sunday)",2 pm,Neutral,#3 Emory,"Cleveland, Ohio",,,"L,0-3",Box ScoreRecap
"October 20, 2015 (Tuesday)",7 pm,Home,Wheaton (Ill.),,,,"W,3-0",Box ScoreRecapPhotos
"October 24, 2015 (Saturday)",1 pm,Neutral,#19 Wis.-Oshkosh,"Decatur, Ill.",,,"W,3-1",Box ScoreRecap
"October 24, 2015 (Saturday)",3 pm,Away,Millikin,,,,"W,3-1",Box ScoreRecap
"October 30, 2015 (Friday)",5:30 pm,Neutral,Hiram,"Bloomington, Ill.",,,"W,3-0",Box ScoreRecapResults
"October 31, 2015 (Saturday)",10 am,Neutral,#14 Carthage,"Bloomington, Ill.",,,"L,2-3",Box ScoreRecapResults
"October 31, 2015 (Saturday)",12 pm,Neutral,DePauw,"Bloomington, Ill.",,,"L,2-3",Box ScoreRecapResults
"November 6, 2015 (Friday)",2 pm,Neutral,#21 Carnegie Mellon,"Rochester, N.Y.",,,"W,3-2",Box ScoreRecap
"November 6, 2015 (Friday)",4:30 pm,Neutral,#1 Emory,"Rochester, NY",,,"L,0-3",Box ScoreRecap
"November 7, 2015 (Saturday)",10 am,Neutral,Case Western Reserve,"Rochester, N.Y.",,,"L,1-3",Box ScoreRecap
"November 12, 2015 (Thursday)",12:30 pm,Neutral,Birmingham-Southern,"Rome, Ga.",,,"L,1-3",Box ScoreRecap
