Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 8, 1990 (Saturday)",,Home,Luther,"Grinnell, IA",,,"W,4-0",
"September 9, 1990 (Sunday)",,Home,William Woods,"Grinnell, IA",,,"W,2-1",
"September 12, 1990 (Wednesday)",,Away,Cornell,"Mount Vernon, IA",,,"W,2-0",
"September 16, 1990 (Sunday)",,Home,Augsburg,"Grinnell, IA",,,"W,4-0",
"September 22, 1990 (Saturday)",,Home,Knox,"Grinnell, IA",,,"W,4-1",
"September 23, 1990 (Sunday)",,Home,Lake Forest,"Grinnell, IA",,,"W,3-0",
"September 26, 1990 (Wednesday)",,Home,Coe,"Grinnell, IA",,,"W,4-0",
"September 28, 1990 (Friday)",,Away,Gustavus Adolphus,"St. Peter, MN",,,"T,0-0",
"October 3, 1990 (Wednesday)",,Away,Coe,"Cedar Rapids, IA",,,"W,5-1",
"October 6, 1990 (Saturday)",,Away,Westminster (MO),"Futton, MO",,,"W,2-1",
"October 7, 1990 (Sunday)",,Home,Cornell,"Grinnell, IA",,,"W,5-0",
"October 10, 1990 (Wednesday)",,Away,Knox,"Galesburg, IL",,,"W,3-1",
"October 13, 1990 (Saturday)",,Away,Carleton,"Northfield, MN",,,"L,1-4",
"October 23, 1990 (Tuesday)",,Away,Chicago,"Chicago, IL",,,"W,6-0",
"October 27, 1990 (Saturday)",,Away,St. Norbert (MWC Tournament Championship),"De Pere, WI",,,"W,2-1",
