Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"August 31, 2018 (Friday)",4:30 p.m.,Home,Edgewood College,"Grinnell, IA",,,,"T,1-1",Box ScoreRecap
"September 1, 2018 (Saturday)",1:00 p.m.,Home,Coe College,"Grinnell, IA",,,,"L,0-2",Box ScoreRecap
"September 6, 2018 (Thursday)",4:30 p.m.,Home,Carleton College,"Grinnell, IA",,,,"L,0-1(OT)",Box ScoreRecap
"September 9, 2018 (Sunday)",1:00 p.m.,Away,Buena Vista University,"Storm Lake, IA",,,,"W,4-0",Box ScoreRecap
"September 13, 2018 (Thursday)",7:00 p.m.,Away,Simpson College,"Indianola, IA",,,,"W,2-0",Box ScoreRecap
"September 19, 2018 (Wednesday)",4:30 p.m.,Away,Central College,"Pella, IA",,,,"L,1-2(OT)",Box ScoreRecap
"September 22, 2018 (Saturday)",1:30 p.m.,Away,Beloit College,"Beloit, WI",,,,"W,4-1",Box ScoreRecap
"September 29, 2018 (Saturday)",1:30 p.m.,Home,Lake Forest College,"Grinnell, IA",,,,"W,1-0",Box ScoreRecap
"September 30, 2018 (Sunday)",1:30 p.m.,Home,Lawrence University,"Grinnell, IA",,,,"W,2-0",Box ScoreRecap
"October 6, 2018 (Saturday)",2:30 p.m.,Home,Knox College,"Grinnell, IA",,,,"L,1-2(OT)",Box ScoreRecap
"October 13, 2018 (Saturday)",1:30 p.m.,Away,Ripon College,"Ripon, WI",,,,"W,3-2",Box ScoreRecap
"October 14, 2018 (Sunday)",1:30 p.m.,Away,St. Norbert College,De Pere. WI,,,,"L,1-2",Box ScoreRecap
"October 17, 2018 (Wednesday)",4:00 p.m.,Away,St. Olaf College,"Northfield, MN",,,,"L,1-2(OT)",Box ScoreRecap
"October 20, 2018 (Saturday)",2:30 p.m.,Home,Monmouth College,"Grinnell, IA",,,,"W,2-1(OT)",Box ScoreRecap
"October 23, 2018 (Tuesday)",3:45 p.m.,Away,Cornell College,"Mount Vernon, IA",,,,"W,2-1",Box ScoreRecap
"October 27, 2018 (Saturday)",1:30 p.m.,Home,Illinois College,"Grinnell, IA",,,,"W,6-0",Box ScoreRecap
"November 2, 2018 (Friday)",2:00 p.m.,Neutral,St. Norbert College (Semifinal),"Galesburg, IL",,,2018 Midwest Conference Tournament,"L,1-2",Box ScoreRecap
