Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"August 28, 2010 (Saturday)",,Neutral,Edgewood,"Dubuque, IA",,,"W,9-0",
"August 28, 2010 (Saturday)",,Neutral,St. Ambrose,"Dubuque, IA",,,"W,7-2",
"September 11, 2010 (Saturday)",,Away,Coe,"Cedar Rapids, IA",,,"L,3-6",
"September 12, 2010 (Sunday)",,Home,Beloit,"Grinnell, IA",,,"W,8-1",
"September 12, 2010 (Sunday)",,Home,Simpson,"Grinnell, IA",,,"W,9-0",
"September 16, 2010 (Thursday)",,Home,Central,"Grinnell, IA",,,"W,5-4",
"September 18, 2010 (Saturday)",,Away,Knox,"Galesburg, IL",,,"W,5-0",
"September 18, 2010 (Saturday)",,Away,Monmouth,"Monmouth, IL",,,"W,9-0",
"September 19, 2010 (Sunday)",,Neutral,Lake Forest,"Monmouth, IL",,,"W,7-2",
"September 19, 2010 (Sunday)",,Neutral,Illinois College,"Monmouth, IL",,,"W,9-0",
"October 2, 2010 (Saturday)",,Home,Cornell,"Grinnell, IA",,,"W,8-1",
"October 6, 2010 (Wednesday)",,Home,Wartburg,"Grinnell, IA",,,"W,5-4",
"October 15, 2010 (Friday)",,Neutral,St. Norbert (MWC Tournament Semifinal),"Rockford, IL",,,"W,5-1",
"October 15, 2010 (Friday)",,Neutral,Lake Forest (MWC Tournament Championship),"Rockford, IL",,,"W,5-2",
"March 20, 2011 (Sunday)",,Neutral,Plattsburgh State,"Orlando, FL",,,"W,8-1",
"March 21, 2011 (Monday)",,Neutral,UW-Whitewater,"Orlando, FL",,,"L,0-9",
"March 22, 2011 (Tuesday)",,Neutral,Kalamazoo,"Orlando, FL",,,"W,5-4",
"March 23, 2011 (Wednesday)",,Neutral,Oglethorpe,"Orlando, FL",,,"W,8-1",
"March 24, 2011 (Thursday)",,Neutral,Luther,"Orlando, FL",,,"L,3-6",
"April 10, 2011 (Sunday)",,Home,Cornell,"Grinnell, IA",,,"W,7-2",
"April 10, 2011 (Sunday)",,Home,Augustana,"Grinnell, IA",,,"L,4-5",
"April 12, 2011 (Tuesday)",,Away,Central,"Pella, IA",,,"W,8-1",
"April 17, 2011 (Sunday)",,Away,Coe,"Cedar Rapids, IA",,,"L,2-7",
"April 23, 2011 (Saturday)",,Neutral,Carleton,"Lakeville, MN",,,"L,0-9",
"May 12, 2011 (Thursday)",,Neutral,Chapman University (NCAA Tournament First Round),"Claremont, CA",,,"L,0-5",
