Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"August 27, 2016 (Saturday)",10:00 a.m.,Home,Augustana College (IL),"Grinnell, IA/10th Avenue Courts",,,,"L,1-8",RecapBox Score
"August 28, 2016 (Sunday)",11:00 a.m.,Away,Saint Ambrose University (Iowa),"Davenport, IA",,,,"W,7-2",RecapBox Score
"September 3, 2016 (Saturday)",9:00 a.m.,Away,University of Wisconsin-Whitewater Tournament,"Whitewater, WI",,,,No Team Score,RecapResults
"September 10, 2016 (Saturday)",9:00 a.m.,Away,Lake Forest College,"Lake Forest, IL",,,,"W,8-1",RecapBox Score
"September 10, 2016 (Saturday)",3:30 p.m.,Away,Beloit College,"Beloit, WI",,,,"W,9-0",RecapBox Score
"September 17, 2016 (Saturday)",9:00 a.m.,Home,Illinois College,"Grinnell, IA/10th Avenue Courts",,,,"W,9-0",RecapBox Score
"September 17, 2016 (Saturday)",3:00 p.m.,Home,Monmouth College,"Grinnell, IA/10th Avenue Courts",,,,"W,9-0",RecapBox Score
"September 18, 2016 (Sunday)",3:00 p.m.,Home,Knox College,"Grinnell, IA/10th Avenue Courts",,,,"W,9-0",RecapBox Score
"September 23, 2016 (Friday)",9:00 a.m.,Neutral,ITA Regional Tournament,"St. Peter, MN",,,,No Team Results,RecapUSTA/ITA Midwest Regional ResultsGustavus Fall Invite Results
"October 2, 2016 (Sunday)",11:00 a.m.,Away,Cornell College,"Mount Vernon, IA",,,,"W,8-1",RecapBox Score
"October 8, 2016 (Saturday)",Noon,Away,Lawrence University,"Appleton, WI",,,,"W,8-1",RecapBox Score
"October 8, 2016 (Saturday)",4:00 p.m.,Away,St. Norbert College,De Pere. WI,,,,"W,5-4",RecapBox Score
"October 9, 2016 (Sunday)",9:30 a.m.,Away,Ripon College,"Ripon, WI",,,,"W,9-0",RecapBox ScoreBox Score
"October 15, 2016 (Saturday)",8:00 a.m.,Neutral,Midwest Conference Individual Tourney,"Madison, WI",,,,No Team Score,RecapResults
"March 12, 2017 (Sunday)",3:00 p.m.,Away,University of St. Thomas,"Minneapolis, MN",,,,Postponed,
"March 20, 2017 (Monday)",1:00 p.m.,Neutral,Luther College,"Orlando, FL",,,,"L,2-7",RecapBox Score
"March 21, 2017 (Tuesday)",8:00 a.m.,Neutral,Calvin College,"Orlando, FL",,,,"L,3-6",RecapBox Score
"March 21, 2017 (Tuesday)",TBA,Neutral,St. Catherine University,"Orlando, FL",,,,"L,4-5",RecapBox Score
"March 23, 2017 (Thursday)",9:00 a.m.,Neutral,Hamline University,"Orlando, FL",,,,"W,8-1",RecapBox Score
"March 24, 2017 (Friday)",9:00 a.m.,Neutral,Hope College,"Orlando, FL",,,,"L,0-9",RecapBox Score
"April 2, 2017 (Sunday)",2:00 p.m.,Away,Coe College,"Cedar Rapids, IA",,,,"L,3-6",RecapBox Score
"April 8, 2017 (Saturday)",10:00 a.m.,Home,Simpson College,"Grinnell, IA/10th Avenue Courts",,,,"W,8-1",RecapBox Score
"April 22, 2017 (Saturday)",9:00 a.m.,Home,Grand View University,"Grinnell, IA/10th Avenue Courts",,,,"W,8-1",RecapBox Score
"April 22, 2017 (Saturday)",3:30 p.m.,Home,Central College,"Grinnell, IA/10th Avenue Courts",,,,"W,8-1",RecapBox Score
"April 27, 2017 (Thursday)",11:30 a.m.,Neutral,Lake Forest College (Semifinal),"Madison, WI",,,2017 Midwest Conference Team Tournament,"W,6-0",RecapBox Score
"April 27, 2017 (Thursday)",4:00 p.m.,Neutral,St. Norbert College (Championship),"Madison, WI",,,2017 Midwest Conference Team Tournament,"L,3-5",RecapBox Score
