Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 1, 2004 (Wednesday)",,Home,Central,"Grinnell, IA",,,"L,0-318-30, 20-30, 21-30)",
"September 4, 2004 (Saturday)",,Neutral,Grand View,"Davenport, IA",,,"L,0-3(15-30, 23-30, 27-30)",
"September 4, 2004 (Saturday)",,Neutral,Dakota Wesleyan,"Davenport, IA",,,"L,0-3(19-30, 18-30, 13-30)",
"September 4, 2004 (Saturday)",,Away,St. Ambrose,"Davenport, IA",,,"L,0-3(15-30, 25-30, 22-30)",
"September 7, 2004 (Tuesday)",,Away,Simpson,"Indianola, IA",,,"L,0-3(26-30, 24-30, 19-30)",
"September 11, 2004 (Saturday)",,Neutral,Beloit (Knox College Tournament),"Galesburg, IL",,,"L,0-3(24-30, 27-30, 26-30)",
"September 11, 2004 (Saturday)",,Away,Knox (Knox College Tournament),"Galesburg, IL",,,"L,0-3(20-30, 26-30, 26-30)",
"September 11, 2004 (Saturday)",,Neutral,Augustana (Knox College Tournament),"Galesburg, IL",,,"W,3-2(30-16 26-30, 30-16, 30-32, 15-9)",
"September 14, 2004 (Tuesday)",,Home,Mount Mercy,"Grinnell, IA",,,"W,3-2(24-30, 27-30, 30-28, 30-25, 15-12)",
"September 17, 2004 (Friday)",,Neutral,Charleston Southern University (Tulsa Tournament),"Tulsa, OK",,,"L,0-3(24-30, 21-30, 28-30)",
"September 17, 2004 (Friday)",,Away,University of Tulsa (Tulsa Tournament),"Tulsa, OK",,,"L,0-3(18-30, 15-30, 20-30)",
"September 18, 2004 (Saturday)",,Neutral,Grambling State University (Tulsa Tournament),"Tulsa, OK",,,"L,0-3(24-30, 17-30, 19-30)",
"September 22, 2004 (Wednesday)",,Away,Coe,"Cedar Rapids, IA",,,"L,0-3(20-30, 24-36, 21-30)",
"September 25, 2004 (Saturday)",,Neutral,Lawrence (MWC Crossover Tournament),"Beloit, WI",,,"L,2-3(30-25, 27-30, 27-30, 30-18, 10-15)",
"September 25, 2004 (Saturday)",,Neutral,Ripon (MWC Crossover Tournament),"Beloit, WI",,,"L,0-3(17-30, 19-30, 24-30)",
"September 25, 2004 (Saturday)",,Neutral,Carroll (MWC Crossover Tournament),"Beloit, WI",,,"L,2-3(25-30, 16-30, 30-19, 30-27, 11-15)",
"September 26, 2004 (Sunday)",,Neutral,St. Norbert (MWC Crossover Tournament),"Beloit, WI",,,"L,0-3(21-30, 24-30, 28-30)",
"September 26, 2004 (Sunday)",,Away,Beloit (MWC Crossover Tournament),"Beloit, WI",,,"L,0-3(14-30, 22-30, 19-30)",
"September 28, 2004 (Tuesday)",,Home,Upper Iowa,"Grinnell, IA",,,"L,0-3(23-30, 24-30, 16-30)",
"October 1, 2004 (Friday)",,Away,Elmhurst (Elmhurst Tournament),"Elmhurst, IL",,,"L,0-3(22-30, 14-30, 20-30)",
"October 1, 2004 (Friday)",,Neutral,Williams College (Elmhurst Tournament),"Elmhurst, IL",,,"L,0-3(15-30, 18-30, 23-30)",
"October 2, 2004 (Saturday)",,Neutral,North Central (Elmhurst Tournament),"Elmhurst, IL",,,"L,1-3(18-30, 26-30, 30-25, 24-30)",
"October 2, 2004 (Saturday)",,Neutral,Upper Iowa (Elmhurst Tournament),"Elmhurst, IL",,,"L,0-3(29-31, 25-30, 13-30)",
"October 9, 2004 (Saturday)",,Away,Franciscan University,"Clinton, IA",,,"L,1-3(21-30, 30-23, 22-30, 24-30)",
"October 9, 2004 (Saturday)",,Neutral,Robert Morris (Franciscan Tournament),"Clinton, IA",,,"W,3-0(30-22, 30-22, 30-24)",
"October 9, 2004 (Saturday)",,Neutral,Knox,"Clinton, IA",,,"W,3-0(31-29, 30-16, 30-23)",
"October 11, 2004 (Monday)",,Away,Mount Mercy,"Cedar Rapids, IA",,,"L,2-3(23-30, 29-31, 30-19, 30-24, 11-15)",
"October 12, 2004 (Tuesday)",,Home,Cornell,"Grinnell, IA",,,"L,0-3(28-30, 29-31, 26-30)",
"October 22, 2004 (Friday)",,Away,Knox,"Galesburg, IL",,,"W,3-0(30-11, 31-29, 30-26)",
"October 23, 2004 (Saturday)",,Away,Lake Forest,"Lake Forest, IL",,,"L,0-3(25-30, 24-30, 18-30)",
"October 27, 2004 (Wednesday)",,Home,Monmouth,"Grinnell, IA",,,"L,2-3(31-29, 30-27, 13-30, 31-33, 8-15)",
"October 30, 2004 (Saturday)",,Home,Illinois College,"Grinnell, IA",,,"L,2-3(28-30, 30-18, 30-28, 25-30, 13-15)",
"November 5, 2004 (Friday)",,Neutral,Carroll (MWC Tournament),"Jacksonville, IL",,,"W,3-2(30-27, 37-35, 26-30, 24-30, 17-15)",
"November 5, 2004 (Friday)",,Neutral,Ripon (MWC Tournament),"Jacksonville, IL",,,"L,0-3(21-30, 18-30, 21-30)",
"November 6, 2004 (Saturday)",,Away,Illinois College (MWC Tournament),"Jacksonville, IL",,,"L,0-3(28-30, 12-30, 28-30)",
