Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"April 4, 1980 (Friday)",,Neutral,Indian Hills,"Mount Vernon, IA",,,"W,10-0",
"April 5, 1980 (Saturday)",,Neutral,Kirkwood,"Mount Vernon, IA",,,"L,0-10",
"April 5, 1980 (Saturday)",,Neutral,Southeastern Iowa Community College,"Mount Vernon, IA",,,"L,4-13",
"April 18, 1980 (Friday)",,Away,Coe (MWC Tournament),"Cedar Rapids, IA",,,"L,3-12",
"April 18, 1980 (Friday)",,Neutral,Monmouth (MWC Tournament),"Cedar Rapids, IA",,,"L,3-14",
"April 19, 1980 (Saturday)",,Neutral,Cornell (MWC Tournament),"Cedar Rapids, IA",,,"L,7-8",
"April 19, 1980 (Saturday)",,Neutral,Knox (MWC Tournament),"Cedar Rapids, IA",,,"L,5-19",
"April 21, 1980 (Monday)",,Home,Cornell,"Grinnell, IA",,,"L,8-13",
"April 21, 1980 (Monday)",,Home,Cornell,"Grinnell, IA",,,"W,8-6",
"April 22, 1980 (Tuesday)",,Home,Indian Hills,"Grinnell, IA",,,"W,7-6",
"April 22, 1980 (Tuesday)",,Home,Indian Hills,"Grinnell, IA",,,"W,8-6",
"April 25, 1980 (Friday)",,Neutral,Iowa Wesleyan,"Pella, IA",,,"L,3-13",
"April 25, 1980 (Friday)",,Neutral,Dordt,"Pella, IA",,,"L,0-10",
"April 29, 1980 (Tuesday)",,Home,Coe,"Grinnell, IA",,,"W,13-7",
"April 29, 1980 (Tuesday)",,Home,Coe,"Grinnell, IA",,,"L,3-14",
