School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
University of Chicago*,11-5,.688,24-11,.686,L2,10-0,11-9,3-2
Ripon*,10-6,.625,24-18,.571,L2,9-1,9-9,6-8
St. Norbert College,10-6,.625,19-17,.528,W3,7-3,7-8,5-6
Beloit,7-9,.438,16-18,.471,L3,6-6,5-8,5-4
Lawrence,2-14,.125,5-23,.179,L2,1-8,1-8,3-7
Monmouth (IL)*,10-6,.625,22-15,.595,L3,5-7,9-5,8-3
Cornell College*,9-7,.562,26-19,.578,L2,5-6,14-8,7-5
Grinnell,8-8,.500,14-20,.412,W1,3-3,5-10,6-7
Illinois Col.,7-9,.438,18-18,.500,W1,12-8,3-5,3-5
Knox,6-10,.375,9-31,.225,L7,6-10,2-13,1-8
