School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
St. Norbert College*,5-0,1.000,10-2,.833,L1,5-0,5-2,0-0
University of Chicago,4-1,.800,7-3,.700,W4,3-3,4-0,0-0
Ripon,3-2,.600,7-3,.700,W2,6-0,1-3,0-0
Macalester College,2-3,.400,5-5,.500,L4,3-2,2-3,0-0
Lawrence,1-4,.200,2-8,.200,L2,2-4,0-4,0-0
Beloit,0-5,.000,1-9,.100,L8,1-5,0-4,0-0
Monmouth (IL)*,5-0,1.000,8-2,.800,L1,5-0,3-2,0-0
Lake Forest,4-1,.800,6-4,.600,L1,4-1,2-3,0-0
Knox,2-3,.400,2-8,.200,L3,1-4,1-4,0-0
Illinois Col.,2-3,.400,4-6,.400,W1,2-2,2-4,0-0
Cornell College,2-3,.400,5-5,.500,W3,1-3,4-2,0-0
Grinnell,0-5,.000,2-8,.200,W1,1-4,1-4,0-0
