School,Conf,Overall,CPts,CPct.,Pct.,Streak,Home,Away,Neutral
Knox*,7-0-2,13-4-2,23,.889,.737,L1,7-1-1,6-2-1,0-1
Lake Forest*,8-1,11-8,24,.889,.579,L1,7-3,4-5,0-0
St. Norbert College*,7-1-1,16-4-1,22,.833,.786,L1,8-0,6-3-1,2-1
Grinnell*,6-2-1,11-7-1,19,.722,.605,L1,4-4-1,7-2,0-1
Monmouth (IL),4-5,5-11-1,12,.444,.324,L2,3-5,2-6-1,0-0
Cornell College,2-5-2,8-6-4,8,.333,.556,W2,3-4-3,5-2-1,0-0
Illinois Col.,3-6,4-11-3,9,.333,.306,L1,3-1-3,1-10,0-0
Beloit,2-6-1,7-8-1,7,.278,.469,W1,4-5,3-3-1,0-0
Lawrence,2-6-1,6-10-1,7,.278,.382,L1,3-5,2-4-1,1-1
Ripon,0-9,4-13,0,.000,.235,L5,1-7,3-6,0-0
