School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Ripon*,15-3,.833,20-7,.741,L1,11-4,9-3,0-0
Monmouth (IL)*,14-4,.778,20-7,.741,L1,8-2,10-4,2-1
Cornell College*,12-6,.667,15-10,.600,L1,9-3,6-6,0-1
Knox*,11-7,.611,16-10,.615,L2,8-5,8-5,0-0
Lake Forest,10-8,.556,13-12,.520,W2,7-4,5-6,1-2
Illinois Col.,9-9,.500,13-12,.520,W1,6-5,5-6,2-1
St. Norbert College,8-10,.444,9-16,.360,L2,6-7,3-9,0-0
Grinnell,7-11,.389,11-14,.440,L1,6-6,5-8,0-0
Lawrence,3-15,.167,6-19,.240,L1,6-6,0-13,0-0
Beloit,1-17,.056,3-22,.120,L8,3-9,0-13,0-0
