School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Lake Forest*#,14-4,.778,26-16,.619,L1,10-4,7-4,9-8
St. Norbert College*,13-5,.722,23-17,.575,L1,5-6,6-5,12-6
Illinois Col.*,13-5,.722,19-15,.559,L2,5-3,9-4,5-8
Grinnell*,13-5,.722,19-22,.463,L1,8-2,6-8,5-12
Cornell College,10-8,.556,20-16,.556,W6,5-7,8-2,7-7
Monmouth (IL),10-8,.556,13-23,.361,L8,8-2,1-10,4-11
Lawrence,9-9,.500,13-21,.382,L1,5-4,6-4,2-13
Ripon,5-13,.278,10-26,.278,W1,3-6,1-9,6-11
Knox,2-16,.111,6-32,.158,L1,1-9,2-14,3-9
Beloit,1-17,.056,7-33,.175,L8,2-14,0-10,5-9
