School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Cornell College#*,8-1,.889,17-11,.607,L3,8-2,5-5,4-4
St. Norbert College*,8-1,.889,24-9,.727,L1,6-2,6-4,12-3
Illinois Col.*,7-2,.778,21-8,.724,L1,8-2,9-3,4-3
Grinnell*,7-2,.778,26-4,.867,W6,15-0,7-3,4-1
Lake Forest,4-5,.444,11-14,.440,L1,6-7,2-5,3-2
Monmouth (IL),4-5,.444,12-16,.429,L3,6-2,4-6,2-8
Ripon,3-6,.333,6-19,.240,W3,4-9,2-3,0-7
Knox,2-7,.222,11-18,.379,L1,6-7,3-5,2-6
Lawrence,2-7,.222,6-20,.231,L4,3-5,1-5,2-10
Beloit,0-9,.000,7-15,.318,L11,2-8,0-5,5-2
