Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Ogasawara, Ibuki",JR-3,12.03m,"39' 5.75""",16 Midwest Conference Championships,"May 13, 2016",-0.6
,"Ogasawara, Ibuki",JR-3,12.01m,"39' 5""",16 Midwest Conference Championships,"May 13, 2016",-0.8
,"Ogasawara, Ibuki",JR-3,11.98m,"39' 3.75""",16 Midwest Conference Championships,"May 13, 2016",-0.9
,"Ogasawara, Ibuki",JR-3,11.84m,"38' 10.25""",16 Midwest Conference Championships,"May 13, 2016",0.6
,"Ogasawara, Ibuki",JR-3,11.72m,"38' 5.5""",Grinnell College Dick Young Classic,"Apr 23, 2016",2.0
,"Ogasawara, Ibuki",JR-3,11.59m,"38' 0.25""",2016 Cornell Outdoor Invite,"Apr 9, 2016",0.0
,"Ogasawara, Ibuki",JR-3,11.43m,"37' 6""",2016 Kip Janvrin Open,"Apr 28, 2016",0.4
,"Ogasawara, Ibuki",JR-3,11.37m,"37' 3.75""",2016 Kip Janvrin Open,"Apr 28, 2016",0.0
,"Silvia, Colton",SO-2,11.34m,"37' 2.5""",2016 Cornell Outdoor Invite,"Apr 9, 2016",-1.4
,"Ogasawara, Ibuki",JR-3,11.33m,"37' 2.25""",16 Midwest Conference Championships,"May 13, 2016",-1.1
,"Ogasawara, Ibuki",JR-3,11.26m,"36' 11.5""",2016 Cornell Outdoor Invite,"Apr 9, 2016",0.0
,"Ogasawara, Ibuki",JR-3,11.24m,"36' 10.5""",16 Midwest Conference Championships,"May 13, 2016",-1.9
,"Ogasawara, Ibuki",JR-3,11.07m,"36' 4""",2016 Cornell Outdoor Invite,"Apr 9, 2016",-1.1
,"Ogasawara, Ibuki",JR-3,10.88m,"35' 8.5""",2016 Cornell Outdoor Invite,"Apr 9, 2016",-1.6
,"Ogasawara, Ibuki",JR-3,10.60m,"34' 9.5""",2016 Cornell Outdoor Invite,"Apr 9, 2016",0.5
