Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Roark, Hannah",FR-1,5:29.03,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Kaczmarczyk, Crystal",SO-2,5:36.81,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Karow, Morgan",FR-1,5:38.05,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Barba, Diana",FR-1,5:45.41,Hilltop Invitational,"Jan 21, 2023"
,"Harrison, Talia",FR-1,5:46.02,Hilltop Invitational,"Jan 21, 2023"
,"Sheehan-Klenk, Julia",SO-2,5:51.66,Darren Young Classic,"Feb 11, 2023"
,"Elliott-Rude, Eleanor",SO-2,5:53.82,Hilltop Invitational,"Jan 21, 2023"
,"Rabbani, Allison",SO-2,5:57.35,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Charron, Grace",FR-1,6:01.02,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Mullen, Ginger",SO-2,6:10.11,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Klassen, Kylie",SO-2,6:11.71,Darren Young Classic,"Feb 11, 2023"
