Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Olowu, Paige",SO-2,10.55m,"34' 7.5""",2020 Grinnell Indoor Invitational,"Feb 1, 2020",NWI
,"Olowu, Paige",SO-2,10.52m,"34' 6.25""",Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020",NWI
,"Olowu, Paige",SO-2,10.46m,"34' 4""",Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020",NWI
,"Olowu, Paige",SO-2,10.39m,"34' 1.25""",Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020",NWI
,"Olowu, Paige",SO-2,10.34m,"33' 11.25""",Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020",NWI
,"Olowu, Paige",SO-2,10.33m,"33' 10.75""",2020 Grinnell Indoor Invitational,"Feb 1, 2020",NWI
,"Olowu, Paige",SO-2,10.26m,"33' 8""",Darren Young Classic,"Feb 15, 2020",NWI
,"Olowu, Paige",SO-2,10.16m,"33' 4""",Darren Young Classic,"Feb 15, 2020",NWI
,"Olowu, Paige",SO-2,10.05m,"32' 11.75""",Darren Young Classic,"Feb 15, 2020",NWI
,"Olowu, Paige",SO-2,10.05m,"32' 11.75""",2020 Grinnell Indoor Invitational,"Feb 1, 2020",NWI
,"Olowu, Paige",SO-2,9.99m,"32' 9.5""",Darren Young Classic,"Feb 15, 2020",NWI
,"Olowu, Paige",SO-2,9.98m,"32' 9""",2020 Grinnell Indoor Invitational,"Feb 1, 2020",NWI
,"Olowu, Paige",SO-2,9.89m,"32' 5.5""",2020 Grinnell Indoor Invitational,"Feb 1, 2020",NWI
,"Olowu, Paige",SO-2,9.62m,"31' 6.75""",Darren Young Classic,"Feb 15, 2020",NWI
,"Olowu, Paige",SO-2,9.59m,"31' 5.75""",Darren Young Classic,"Feb 15, 2020",NWI
