Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Warnock, Gavin",SR-4,6.70m,"21' 11.75""",2014 Midwest Conference Championships,"Feb 28, 2014",0.0
,"Warnock, Gavin",SR-4,6.68m,"21' 11""",2014 Midwest Conference Championships,"Feb 28, 2014",0.0
,"Warnock, Gavin",SR-4,6.54m,"21' 5.5""",2014 Midwest Conference Championships,"Feb 28, 2014",0.0
,"Warnock, Gavin",SR-4,6.53m,"21' 5.25""",2014 Midwest Conference Championships,"Feb 28, 2014",0.0
,"Warnock, Gavin",SR-4,6.51m,"21' 4.25""",Wartburg Invite,"Feb 22, 2014",0.0
,"Warnock, Gavin",SR-4,6.50m,"21' 4""",2014 Midwest Conference Championships,"Feb 28, 2014",0.0
,"Warnock, Gavin",SR-4,6.40m,"21' 0""",Wartburg Invite,"Feb 22, 2014",0.0
,"Warnock, Gavin",SR-4,6.37m,"20' 10.75""",2014 Midwest Conference Championships,"Feb 28, 2014",0.0
,"Warnock, Gavin",SR-4,6.20m,"20' 4.25""",Wartburg Invite,"Feb 22, 2014",0.0
,"Warnock, Gavin",SR-4,6.16m,"20' 2.5""",Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014",0.0
,"Warnock, Gavin",SR-4,6.10m,"20' 0.25""",2014 Hilltop Invite,"Feb 1, 2014",0.0
,"Warnock, Gavin",SR-4,6.09m,"19' 11.75""",2014 Hilltop Invite,"Feb 1, 2014",0.0
,"Warnock, Gavin",SR-4,6.05m,"19' 10.25""",2014 Hilltop Invite,"Feb 1, 2014",0.0
,"Warnock, Gavin",SR-4,6.03m,"19' 9.5""",2014 Hilltop Invite,"Feb 1, 2014",0.0
,"Silvia, Colton",FR-1,5.38m,"17' 8""",2014 Hilltop Invite,"Feb 1, 2014",0.0
,"Warnock, Gavin",SR-4,5.29m,"17' 4.25""",2014 Hilltop Invite,"Feb 1, 2014",0.0
