Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Saldanha, John Michael",FR-1,12.63m,"41' 5.25""",Midwest Conference Outdoor Championships,"May 12, 2023",0.8
,"Saldanha, John Michael",FR-1,12.47m,"40' 11""",Midwest Conference Outdoor Championships,"May 12, 2023",0.5
,"Saldanha, John Michael",FR-1,12.40m,"40' 8.25""",Norse Invite,"Apr 15, 2023",1.8
,"Saldanha, John Michael",FR-1,12.16m,"39' 10.75""",Midwest Conference Outdoor Championships,"May 12, 2023",0.7
,"Saldanha, John Michael",FR-1,12.11m,"39' 8.75""",Midwest Conference Outdoor Championships,"May 12, 2023",1.6
,"Saldanha, John Michael",FR-1,12.11m,"39' 8.75""",Norse Invite,"Apr 15, 2023",0.3
,"Saldanha, John Michael",FR-1,12.08m,"39' 7.75""",2023 Kip Janvrin Open,"Apr 27, 2023",0.0
,"Saldanha, John Michael",FR-1,11.92m,"39' 1.25""",Norse Invite,"Apr 15, 2023",0.4
,"Saldanha, John Michael",FR-1,11.76m,"38' 7""",2023 Kip Janvrin Open,"Apr 27, 2023",-0.3
,"Saldanha, John Michael",FR-1,11.68m,"38' 4""",Midwest Conference Outdoor Championships,"May 12, 2023",1.7
,"Saldanha, John Michael",FR-1,11.60m,"38' 0.75""",Norse Invite,"Apr 15, 2023",1.2
