Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Bresnahan, Cara",JR-3,9.90m,"32' 5.75""",Monmouth College Fighting Scots Outdoor Invitational,"May 5, 2018",0.0
,"Bresnahan, Cara",JR-3,9.70m,"31' 10""",2018 Dick Young Invite,"Apr 21, 2018",-1.5
,"Bresnahan, Cara",JR-3,9.66m,"31' 8.5""",Midwest Conference Outdoor Championships,"May 11, 2018",0.0
,"Bresnahan, Cara",JR-3,9.47m,"31' 1""",2018 Dick Young Invite,"Apr 21, 2018",-0.2
,"Bresnahan, Cara",JR-3,9.38m,"30' 9.25""",Midwest Conference Outdoor Championships,"May 11, 2018",-0.8
,"Bresnahan, Cara",JR-3,9.33m,"30' 7.5""",Emory Classic,"Mar 30, 2018",0.1
,"Bresnahan, Cara",JR-3,9.25m,"30' 4.25""",2018 Kip Janvrin Open,"Apr 26, 2018",-2.0
,"Bresnahan, Cara",JR-3,9.24m,"30' 3.75""",2018 Kip Janvrin Open,"Apr 26, 2018",-4.0
,"Bresnahan, Cara",JR-3,9.16m,"30' 0.75""",Cornell Invitational,"Apr 4, 2018",0.0
,"Bresnahan, Cara",JR-3,9.06m,"29' 8.75""",Cornell Invitational,"Apr 4, 2018",0.0
,"Bresnahan, Cara",JR-3,8.96m,"29' 4.75""",Emory Classic,"Mar 30, 2018",-0.1
